,ReviewID,Page Type,Full Text,Rating,Segments
21183,21184,review,"My kids were skeptical about having apple watch, but after receiving them as a gift, they love them!",5,"['My kids were skeptical about having apple watch ,', 'but', 'after receiving them as a gift ,', 'they love them !']"
21434,21435,review,Had been looking for a Apple watch charger. Best Buy had great price and had item in stock at store.,5,"['Had been looking for a Apple watch charger .', 'Best Buy had great price', 'and had item in stock at store .']"
21673,21674,review,"First Apple Watch for me, very impressed! Tracks a lot things and charges fast. Very easy to set up.",5,"['First Apple Watch for me , very impressed ! Tracks a lot things and charges fast .', 'Very easy to set up .']"
21734,21735,review,"Excellent band for your Apple Watch, quality of materials has been improved a lot through the years.",5,"['Excellent band for your Apple Watch ,', 'quality of materials has been improved a lot through the years .']"
21777,21778,review,"This was a greatly great charger for my Apple Watch Series 5, charges my watch without any problems.",5,"['This was a greatly great charger for my Apple Watch Series 5 ,', 'charges my watch', 'without any problems .']"
21834,21835,review,Apple Watch Series 5 (GPS) 40mm Space Gray Aluminum Case with Black Sport Band - Space Gray Aluminum,5,"['Apple Watch Series 5', '( GPS )', '40mm Space Gray Aluminum Case with Black Sport Band - Space Gray Aluminum']"
21923,21924,review,The best Apple watch band in the market. Beware of the aftermarket bands which will break over time.,5,"['The best Apple watch band in the market . Beware of the aftermarket bands', 'which will break over time .']"
22011,22012,review,Bought for the girlfriend and it's her first Apple Watch. She loves it. Never wore watches before.,5,"['Bought for the girlfriend and it ' s her first Apple Watch .', 'She loves it .', 'Never wore watches before .']"
22176,22177,review,"I never thought I'd want an Apple Watch until I got one, and now I don't want to be without it!!",5,"['I never thought', 'I ' d want an Apple Watch', 'until I got one ,', 'and now I don ' t want to be', 'without it ! !']"
22447,22448,review,"I love my Apple Watch, I like how the screen is bigger than others, and the controls are easy to use",5,"['I love my Apple Watch ,', 'I like how the screen is bigger than others ,', 'and the controls are easy to use']"
22553,22554,review,the most portable apple watch charger ever! i absolutely love it!!! i don't go anywhere without it,5,"['the most portable apple watch charger ever ! i absolutely love it ! ! !', 'i don ' t go anywhere', 'without it']"
22739,22740,review,"I never thought I would need an apple watch, but I must say, now I can't live without it. I love it!",5,"['I never thought', 'I would need an apple watch ,', 'but I must say ,', ""now I ca n't live"", 'without it .', 'I love it !']"
22972,22973,review,"Amazing smart watch for the price, for $200 you wont get a better deal than the apple watch series 3",5,"['Amazing smart watch for the price , for $ 200 you wont get a better deal than the apple watch series 3']"
23064,23065,review,Good product for the price. Great if you want to try an apple watch without spending a lot of money.,5,"['Good product for the price . Great', 'if you want to try an apple watch', 'without spending a lot of money .']"
23444,23445,review,Learned so much from this book. It was very helpful. Now I can start using my Apple watch! Thank you,5,"['Learned so much from this book .', 'It was very helpful .', 'Now I can start using my Apple watch ! Thank', 'you']"
23566,23567,review,"This is way better than the fitbit charge 4. It's smaller, but the functions are more user friendly.",5,"[""This is way better than the fitbit charge 4 . It 's smaller ,"", 'but the functions are more user friendly .']"
24573,24574,review,Great fitbit - Charge 3 Activity Tracker + Heart Rate -. Just what i was looking for. Works great!!!,5,"['Great fitbit - Charge 3 Activity Tracker + Heart Rate - .', 'Just what i was looking for . Works great ! ! !']"
24641,24642,review,I absolutely love this watch! i used to have a versa and im so glad i decided to get an apple watch!,5,"['I absolutely love this watch !', 'i', 'used to have a versa and im', 'so glad i decided to get an apple watch !']"
25550,25551,review,Very good watch i like the galaxy watch way better than Apple watch. Seems like it has more features,5,"['Very good watch i like the galaxy watch way better than Apple watch . Seems', 'like it has more features']"
25643,25644,review,Apple Watch Five Very Good quality very good got active ppl my daughter got it for bday and loved it,5,"['Apple Watch Five Very Good quality very good got active ppl my daughter got it for bday', 'and loved it']"
25690,25691,review,"This watch is very functional , my fdz can call me from this watch, Better than an Apple Watch, nice",5,"['This watch is very functional ,', 'my fdz can call me from this watch ,', 'Better than an Apple Watch ,', 'nice']"
26292,26293,review,"Really so nice Looks exactly like the Apple Watch , the mobile app is user friendly. Worth the money",5,"['Really so nice Looks exactly like the Apple Watch ,', 'the mobile app is user friendly .', 'Worth the money']"
26923,26924,review,I've never had an issue with Samsung watches. Definitely prefer this over the fitbit or Apple watch!,5,"[""I 've never had an issue with Samsung watches ."", 'Definitely prefer this over the fitbit or Apple watch !']"
26928,26929,review,We bought this for our son as a gift and he loves it. It is way better than my original Apple Watch.,5,"['We bought this for our son as a gift', 'and he loves it .', 'It is way better than my original Apple Watch .']"
27152,27153,review,I wanted to get a Apple Watch and it was a really great investment! The watch is really easy to use!,5,"['I wanted to get a Apple Watch', 'and it was a really great investment !', 'The watch is really easy to use !']"
27744,27745,review,"This is my 4th purchase of an Apple Watch, I truly love Apple. Can't go wrong with this Smart Watch!",5,"['This is my 4th purchase of an Apple Watch ,', 'I truly love Apple .', ""Ca n't go wrong with this Smart Watch !""]"
27767,27768,review,I was skeptical about the Apple Watch but it has worked great. Does exactly what you expect. So easy,5,"['I was skeptical about the Apple Watch', 'but it has worked great .', 'Does exactly what you expect .', 'So easy']"
23286,23287,review,Love all the features of this Apple Watch. Terrific design and fit. Love all the health features. Would buy again.,5,"['Love all the features of this Apple Watch . Terrific design and fit .', 'Love all the health features .', 'Would buy again .']"
23551,23552,review,"This is an update from my Fitbit Versa. I love the built in GPS, a must have upgrade if you run or exercise a lot.",5,"['This is an update from my Fitbit Versa .', 'I love the built in GPS ,', 'a must have upgrade', 'if you run or exercise a lot .']"
24324,24325,review,I found it easy to use the apple watch and it has kept track of my steps better than any other watch or pedometer.,5,"['I found', 'it easy to use the apple watch', 'and it has kept track of my steps better than any other watch or pedometer .']"
25144,25145,review,Love this watch band \nI didn't wear my Apple Watch with the factory band because it hurt. This one fits perfect,5,"['Love this watch band \\nI didn ' t wear my Apple Watch with the factory band', 'because it hurt .', 'This one fits perfect']"
25251,25252,review,Good price and seems sturdy. Hope it lasts. Lots of features. Better than spending a lot on Fitbit or Apple Watch.,5,['Good price and seems sturdy . Hope it lasts . Lots of features . Better than spending a lot on Fitbit or Apple Watch .']
26035,26036,review,"This is a great cheaper alternative to the Apple watch. It delivers a great value, and it has a long battery life.",5,"['This is a great cheaper alternative to the Apple watch .', 'It delivers a great value ,', 'and it has a long battery life .']"
26619,26620,review,"I really do like my Fitbit Charge 3. I like being able to know the distance, number of steps and how long it took.",5,"['I really do like my Fitbit Charge 3 .', 'I like being able to know the distance , number of steps', 'and how long it took .']"
27153,27154,review,"Apple Watch has so many uses besides a watch, the cellular ease of use makes life easy when I'm outside running.",5,"['Apple Watch has so many uses', 'besides a watch ,', 'the cellular ease of use makes life easy', 'when I ' m outside running .']"
27203,27204,review,"I had always had Fitbits, decided to get an Apple Watch and so far I love it. Still learning set up and functions.",5,"['I had always had Fitbits ,', 'decided to get an Apple Watch and so far I love it .', 'Still learning set up and functions .']"
27350,27351,review,Great item to help give your Apple Watch some style and originality. Easy to use and to adjust to your wrist size.,5,"['Great item', 'to help give your Apple Watch some style and originality . Easy', 'to use', 'and to adjust to your wrist size .']"
27730,27731,review,I use this to plug my 2 iPhones and Apple Watch into at night and for other USB chargeable devices during the day.,5,"['I use this', 'to plug my 2 iPhones and Apple Watch into at night and for other USB chargeable devices during the day .']"
28460,28461,review,Apple Watch bands are always made of very good quality. This band is fantastic compared to my other off brand ones,5,"['Apple Watch bands are always made of very good quality .', 'This band is fantastic', 'compared to my other off brand ones']"
28477,28478,review,This Fitbit is great. Many of the same features as Apple Watch but much smaller and much cheaper. Would recommend!,5,"['This Fitbit is great . Many of the same features', 'as Apple Watch but much smaller and much cheaper .', 'Would recommend !']"
29001,29002,review,Beautiful strap for Apple Watch. Had to return as partner didn't like it as a gift. Will buy tēnei brand again.,5,"['Beautiful strap for Apple Watch .', 'Had to return as partner didn ' t like it as a gift .', 'Will buy tēnei brand again .']"
29162,29163,review,Galaxy watch is no different than the Apple Watch works the same way! I go back and fourth with apple and android!,5,"['Galaxy watch is no different', 'than the Apple Watch works the same way !', 'I go back', 'and fourth with apple and android !']"
29325,29326,review,My daughter loves her series 3 Apple Watch. It has all the features she wanted to kept track of her fitness goals.,5,"['My daughter loves her series 3 Apple Watch .', 'It has all the features', 'she wanted to kept track of her fitness goals .']"
29480,29481,review,Love the new Fitbit Versa 3. Shipped to my home timely matter. Would I recommend Best Buy and the New Fitbit? Yes!,5,"['Love the new Fitbit Versa 3 . Shipped to my home timely matter .', 'Would I recommend Best Buy and the New Fitbit ? Yes !']"
29627,29628,review,I love my new Apple Watch. It's convenient for hands free operation and offers so many health Amd safety features.,5,"['I love my new Apple Watch .', ""It 's convenient for hands free operation"", 'and offers so many health Amd safety features .']"
29918,29919,review,Love my Apple Watch! Quality product! I chose the GPS model. I love the new OS and all of the features it entails.,5,"['Love my Apple Watch ! Quality product !', 'I chose the GPS model .', 'I love the new OS and all of the features it entails .']"
30296,30297,review,"Battery life is amazing does more than the Apple Watch at a 1/4 the cost, just can't reply to text or make calls",5,"['Battery life is amazing does more than the Apple Watch at a 1/4 the cost ,', 'just can ' t reply to text', 'or make calls']"
30353,30354,review,"Looks good, works good, fits perfectly. Purchased the white Apple Watch. So changing it to black bands looks good.",5,"['Looks good , works good , fits perfectly . Purchased the white Apple Watch .', 'So changing it to black bands looks good .']"
30413,30414,review,The Apple Watch is a fun toy and status symbol for a lot of people.\nMost people do not used most of the features.,5,['The Apple Watch is a fun toy and status symbol for a lot of people.\\nMost people do not used most of the features .']
31064,31065,review,Love to be able to charge up my first generation apple watch after thinking I lost it! Piece is working wonderful!,5,"['Love to be able to charge up my first generation apple watch', 'after thinking', 'I lost it !', 'Piece is working wonderful !']"
31109,31110,review,I bought this Apple Watch for myself and I absolutely love it! Never thought I'd want one but so glad I got it!!,5,"['I bought this Apple Watch for myself', 'and I absolutely love it !', 'Never thought', 'I ' d want one but so glad I got it ! !']"
31392,31393,review,I love my Apple Watch and I love that I was able to purchase this in 12 months using my credit card with Best Buy.,5,"['I love my Apple Watch', 'and I love', 'that I was able to purchase this in 12 months', 'using my credit card with Best Buy .']"
31759,31760,review,Bought this to go with my apple watch to protect. Worth the purchase to protect your watch. Highly recommend this.,5,"['Bought this to go with my apple watch to protect .', 'Worth the purchase', 'to protect your watch .', 'Highly recommend this .']"
31776,31777,review,The Apple Watch series six has become my favorite watch. The functionality is off the charts and so user friendly.,5,"['The Apple Watch series six has become my favorite watch .', 'The functionality is off the charts', 'and so user friendly .']"
32131,32132,review,I am so excited to finally have my Apple Watch. It is so easy to use and I love all the information I get from it.,5,"['I am so excited to finally have my Apple Watch .', 'It is so easy to use', 'and I love all the information I get from it .']"
32138,32139,review,Nice travel stand for charging Apple Watch. Whether traveling ire just setting it by your bed on your night stand.,5,"['Nice travel stand for charging Apple Watch .', 'Whether traveling ire just setting it by your bed on your night stand .']"
32366,32367,review,I recently switched from an Apple Watch to a Samsung one and I loved how easy the transition was. Easy to Maneuver,5,"['I recently switched from an Apple Watch to a Samsung one', 'and I loved', 'how easy the transition was . Easy to Maneuver']"
32624,32625,review,Perfect fit for my Fitbit charge 2 and much cheaper than the Fitbit replacement band. Too soon to rate durability.,5,"['Perfect fit for my Fitbit charge 2 and much cheaper than the Fitbit replacement band .', 'Too soon to rate durability .']"
32661,32662,review,Best Apple watch I have ever bought I would highly recommend to anyone plus it comes with 6 months of apple sport!,5,"['Best Apple watch I have ever bought', 'I would highly recommend to anyone plus', 'it comes with 6 months of apple sport !']"
32803,32804,review,My husband loves his Apple Watch. Definitely great for him to quickly check on things while he's at the station.,5,"['My husband loves his Apple Watch . Definitely great for him to quickly check on things', 'while he ' s at the station .']"
32960,32961,review,We picked this up for Mom Of The House and she was happy. Worked for her. Just upgraded to an Apple Watch in 2021.,5,"['We picked this up for Mom Of The House', 'and she was happy . Worked for her . Just upgraded to an Apple Watch in 2021 .']"
33665,33666,review,This is a beautiful and classy band for the Apple Watch. It is easy to put on and easy to takeoff and very smooth.,5,"['This is a beautiful and classy band for the Apple Watch .', 'It is easy to put on and easy to takeoff and very smooth .']"
34176,34177,review,"This apple watch is incredible, it's fast, the sound is great on in it and works perfectly i would 100% recommend.",5,"['This apple watch is incredible ,', ""it 's fast ,"", 'the sound is great on in it', 'and works perfectly i would 100 % recommend .']"
34225,34226,review,I'm enjoying my new Apple Watch. It is pricey but it does everything that you'd expect it to do!! Happy buyer!,5,"['I ' m enjoying my new Apple Watch .', 'It is pricey', 'but it does everything', 'that you ' d expect it to do ! !', 'Happy buyer !']"
34298,34299,review,Clear and gray bumpers give me some variety with my different watch bands. Perfect fit with my Apple Watch 7 44mm.,5,['Clear and gray bumpers give me some variety with my different watch bands . Perfect fit with my Apple Watch 7 44mm .']
237,238,review,Cool concept but watch slips down every night and you wake up to an uncharged Apple Watch. Phone charger works fine,1,"['Cool concept but watch slips down every night', 'and you wake up to an uncharged Apple Watch .', 'Phone charger works fine']"
274,275,review,The tool to adjust the band was broke the band was too big so I could not use it with out scratching my Apple Watch,1,"['The tool', 'to adjust the band', 'was broke the band', 'was too big', 'so I could not use it with out scratching my Apple Watch']"
666,667,review,Absolute garbage. Apple Watch stopped working after a week. Screen does not turn on. Company won't respond to me.,1,"['Absolute garbage . Apple Watch stopped', 'working after a week . Screen does not turn on . Company', 'won ' t respond to me .']"
1233,1234,review,Even with help from the Geek Squad we could not activate the watch. Ended up exchanging and getting an Apple Watch.,1,"['Even with help from the Geek Squad we could not activate the watch . Ended up exchanging', 'and getting an Apple Watch .']"
1800,1801,review,This doe as not fit a Fitbit Versa 2. The peg is on the wrong side of the one band and the band is too wide to fit.,1,"['This doe as not fit a Fitbit Versa 2 .', 'The peg is on the wrong side of the one band', 'and the band is too wide to fit .']"
2567,2568,review,"Unfortunately, this rose gold does not have enough rose in it so it doesn't match the rose gold of the Apple watch.",2,"['Unfortunately , this rose gold does not have enough rose', ""in it so it does n't match the rose gold of the Apple watch .""]"
3913,3914,review,"Did not fit very well on the Fitbit versa 3, It only lasted one day started to peel, now all I can see are bubbles.",3,"['Did not fit very well on the Fitbit versa 3 ,', 'It only lasted one day started to peel ,', 'now all I can see are bubbles .']"
4228,4229,review,When I bought this dock we did not know that the Apple Watch cord/chargers connection is smaller that a normal cord,3,"['When I bought this dock', 'we did not know', 'that the Apple Watch cord/chargers connection is smaller', 'that a normal cord']"
4359,4360,review,It the greatest Apple Watch band very heavy pulls my arm hairs lol. But it does look very nice with the Apple watch,3,"['It the greatest Apple Watch band very heavy pulls my arm hairs lol .', 'But it does look very nice with the Apple watch']"
4854,4855,review,"Very nice looking, fit perfect for Fitbit Ionic. It only lasted about over a year, so it's not for a long time use.",3,"['Very nice looking , fit perfect for Fitbit Ionic . It only lasted about over a year ,', ""so it 's not for a long time use .""]"
5129,5130,review,I love my Apple Watch great quality the only issue was I would get like this radiation circle in the top of my hand,3,"['I love my Apple Watch great quality', 'the only issue was I would get like this radiation circle in the top of my hand']"
6060,6061,review,This was purchased as a gift. The quality is not quite as good as an Apple Watch band but the price is much better.,4,"['This was purchased as a gift .', 'The quality is not quite as good', 'as an Apple Watch band', 'but the price is much better .']"
6772,6773,review,"This is the best I've used for counting steps, better than the Apple Watch. But it lacks some other functionality",4,"['This is the best', 'I ' ve used for counting steps , better than the Apple Watch .', 'But it lacks some other functionality']"
7795,7796,review,Great tech to remind yourself to stand up tall and help with posture. I usually wear it when I wear my Apple watch.,4,"['Great tech to remind yourself', 'to stand up tall', 'and help with posture .', 'I usually wear it', 'when I wear my Apple watch .']"
8024,8025,review,Insignia™ - Apple Watch Magnetic Charging Cable and Silicone Cable Wrap is used in my car for emergency charging.,4,['Insignia™ - Apple Watch Magnetic Charging Cable and Silicone Cable Wrap is used in my car for emergency charging .']
8107,8108,review,"This is my wife's 3rd Apple Watch, it works great! But please buy a case for those who are more accident prone!!!",4,"['This is my wife ' s 3rd Apple Watch ,', 'it works great !', 'But please buy a case for those', 'who are more accident prone ! ! !']"
8230,8231,review,Nice comfort and for support loop band for the Apple Watch. Be six and plain. Not flashy but amazing for the price.,4,['Nice comfort and for support loop band for the Apple Watch . Be six and plain . Not flashy but amazing for the price .']
8999,9000,review,Amazing low price version of the apple watch. Works great and a huge improvement over the series 1 I upgraded from.,5,['Amazing low price version of the apple watch . Works great and a huge improvement over the series 1 I upgraded from .']
9036,9037,review,Bought this to have an extra apple watch charger in the car so I didnt have to unplug the one at home. Works great.,5,"['Bought this to have an extra apple watch charger in the car', 'so I didnt have to unplug the one at home . Works great .']"
9182,9183,review,Best Apple Watch I've had. No issues with this one. Use every day and no issues when I wear swimming or in shower,5,"['Best Apple Watch', 'I ' ve', 'had . No issues with this one . Use every day and no issues', 'when I wear swimming or in shower']"
9357,9358,review,Great for the Apple Watch. Hold the watch nice and tight. Great for people wearing the watch and doing manual work.,5,"['Great for the Apple Watch . Hold the watch nice and tight . Great for people', 'wearing the watch', 'and doing manual work .']"
9648,9649,review,This Apple Watch is great. Lots of features and really easy to use. Nice styling and a comfortable Nike Sport Band.,5,"['This Apple Watch is great . Lots of features', 'and really easy to use . Nice styling and a comfortable Nike Sport Band .']"
9913,9914,review,It was a great replacement band for my fitbit versa. I appreciated the affordability and the easy way to attach it.,5,"['It was a great replacement band for my fitbit versa .', 'I appreciated the affordability', 'and the easy way to attach it .']"
9950,9951,review,My apple watch had a hair line crack and this product sealed the screen. I can use my watch for pool parties again.,5,"['My apple watch had a hair line crack', 'and this product sealed the screen .', 'I can use my watch for pool parties again .']"
9969,9970,review,"I've got this for my husband Apple Watch series 6, he simply loved it! It protect against water, dust, and falls!",5,"['I ' ve got this for my husband Apple Watch series 6 ,', 'he simply loved it !', 'It protect against water , dust , and falls !']"
10133,10134,review,Great watch love the color it is a big upgrade from the last gen of Apple Watch the battery life is vastly improved,5,"['Great watch love the color', 'it is a big upgrade from the last gen of Apple Watch the battery life is vastly improved']"
10164,10165,review,Wanted to get a new Apple Watch got the series 6 it is so much nice that the 4. Good price for the cellular and gps,5,"['Wanted to get a new Apple Watch', 'got the series 6', 'it is so much nice', 'that the 4 . Good price for the cellular and gps']"
10439,10440,review,Replaced my Apple Watch 3 (GPS) with this model. Got it when it was on sale—saved around $150 off MSRP. Me likey.,5,"['Replaced my Apple Watch 3', '( GPS )', 'with this model . Got it', 'when it was on sale—saved around $ 150 off MSRP . Me likey .']"
11022,11023,review,Fits seamlessly with my Apple Watch 5. It's breathable and easier on my skin than the original silicone watch band.,5,"['Fits seamlessly with my Apple Watch 5 .', ""It 's breathable and easier on my skin than the original silicone watch band .""]"
11098,11099,review,This was a wonderful addition to my Apple Watch ad I was always smashing my arm against something. No more worries.,5,"['This was a wonderful addition to my Apple Watch ad', 'I was always smashing my arm against something . No more worries .']"
11333,11334,review,Apple Watch is always a great gift for good friend.\nIt help monitor the health and motivate people to move around.,5,"['Apple Watch is always a great gift for good friend.\\nIt help monitor the health and motivate people', 'to move around .']"
11494,11495,review,I choose to upgrade from the Apple Watch 4 to the 6 and I totally love the new features on the watch. Great choice.,5,"['I choose to upgrade from the Apple Watch 4 to the 6', 'and I totally love the new features on the watch . Great choice .']"
11764,11765,review,Took a while to get on board with the Apple Watch and I am so glad that I did. I love it. I really enjoy the rings.,5,"['Took a while', 'to get on board with the Apple Watch', 'and I am so glad', 'that I did .', 'I love it .', 'I really enjoy the rings .']"
11796,11797,review,This Apple Watch is awesome. Purchased it as a present for my son and he loves it. Very easy and convenient to use.,5,"['This Apple Watch is awesome .', 'Purchased it as a present for my son', 'and he loves it . Very easy and convenient to use .']"
11841,11842,review,Apple Watch charger works great and so happy Best Buy had in stock when my dog unexpectedly chewed up my other one.,5,"['Apple Watch charger works great', 'and so happy', 'Best Buy had in stock', 'when my dog unexpectedly chewed up my other one .']"
12076,12077,review,Love how it tracks my sleep and tone. I have the Apple Watch 6 and it doesn't track my sleep as well as the Halo.,5,"['Love how it tracks my sleep and tone .', 'I have the Apple Watch 6', 'and it doesn ' t track my sleep as well as the Halo .']"
12237,12238,review,I love this computer it's great for school and just surfing the internet! It syncs with my phone and Apple Watch!,5,"['I love this computer it ' s great for school', 'and just surfing the internet ! It syncs with my phone and Apple Watch !']"
12584,12585,review,I have debating where to get the apple watch and now that I finally got it... I love it! Specially when I exercise.,5,"['I have debating where to get the apple watch', 'and now that I finally got it ...', 'I love it ! Specially', 'when I exercise .']"
12668,12669,review,This cover fits perfectly and does not impede the function of the watch. I highly recommend this Apple Watch cover.,5,"['This cover fits perfectly', 'and does not impede the function of the watch .', 'I highly recommend this Apple Watch cover .']"
13111,13112,review,Replaced my initial Apple watch band with this one. It is a good product. Very pleased with the looks of this band.,5,"['Replaced my initial Apple watch band with this one .', 'It is a good product . Very', 'pleased with the looks of this band .']"
13315,13316,review,Just like my Apple Watch one it does the job but with more option than the Generation 1 watch. Great price as well.,5,"['Just like my Apple Watch one', 'it does the job but with more option than the Generation 1 watch . Great price as well .']"
13690,13691,review,Purchased for wife as gift. Setup took minutes and we have had no issues with device. Works great with apple watch.,5,"['Purchased for wife as gift . Setup took minutes', 'and we have had no issues with device . Works great with apple watch .']"
13799,13800,review,Sturdy Apple watch band that looks really professional. Wasn't difficult to remove the unnecessary links as well.,5,"['Sturdy Apple watch band', 'that looks really professional . Wasn ' t difficult to remove the unnecessary links as well .']"
13928,13929,review,"Love the Apple Watch Series 5, a good Apple Watch product if you don't want the most recent I would recommend this!",5,"['Love the Apple Watch Series 5 , a good Apple Watch product', ""if you do n't want the most recent I"", 'would recommend this !']"
14101,14102,review,Bought this to replace my Apple Watch. This is much sleeker and the battery life is awesome. Definitely an upgrade.,5,"['Bought this', 'to replace my Apple Watch .', 'This is much sleeker', 'and the battery life is awesome . Definitely an upgrade .']"
14429,14430,review,Love the Apple Watch Nike+ I already have an Apple Watch but this one was a gift for my daughter who is an athlete.,5,"['Love the Apple Watch Nike+ I already have an Apple Watch', 'but this one was a gift for my daughter', 'who is an athlete .']"
14602,14603,review,I have never owned an Apple Watch before but I love that I finally decided to get one! This thing does EVERYTHING!!,5,"['I have never owned an Apple Watch', 'before but I love', 'that I finally decided to get one ! This thing does EVERYTHING ! !']"
14711,14712,review,My wife loves her apple watch. She never knew how much she would use this thing. Very useful addition to her phone.,5,"['My wife loves her apple watch .', 'She never knew', 'how much she would use this thing .', 'Very useful addition to her phone .']"
14747,14748,review,Love this watch. Very easy to use. I own a Apple Watch but hands down this is better for exercising and sleep track,5,"['Love this watch . Very easy to use .', 'I own a Apple Watch', 'but hands down this is better for exercising and sleep track']"
14887,14888,review,The only band and case that will protect an older Apple Watch. Great and reliable when sweat and water is an issue.,5,"['The only band and case', 'that will protect an older Apple Watch . Great and reliable', 'when sweat and water is an issue .']"
15143,15144,review,"Very nice, comfortable watch band strap. Been trying to find one for my Fitbit Versa that I can wear all day/night.",5,"['Very nice , comfortable watch band strap . Been', 'trying to find one for my Fitbit Versa', 'that I can wear all day/night .']"
15527,15528,review,Went from the first generation of the Apple Watch to the last and its by far the best one ! Would recommend to buy.,5,['Went from the first generation of the Apple Watch to the last and its by far the best one ! Would recommend to buy .']
15597,15598,review,Awesome case. Really recommend this for anyone who wants to protect the glass on their Apple Watch 5 or vice versa.,5,"['Awesome case . Really recommend this for anyone', 'who wants to protect the glass on their Apple Watch 5 or vice versa .']"
15620,15621,review,had the apple watch series 1 and upgraded to this. Similar but love the battery life and water resistance on the 3!,5,"['had the apple watch series 1 and upgraded to this . Similar', 'but love the battery life and water resistance on the 3 !']"
16053,16054,review,Apple Watch Series 5 is really great. BB made it very easy to order and delivery was much quicker than anticipated!,5,"['Apple Watch Series 5 is really great .', 'BB', 'made it very easy to order and delivery was much quicker', 'than anticipated !']"
16205,16206,review,Easy to adjust the watch band. Very stylish. When people realize its an apple watch they instantly want one as well,5,"['Easy to adjust the watch band . Very stylish .', 'When people realize its an apple watch', 'they instantly', 'want one as well']"
16318,16319,review,You Wyze people make amazing products! Love this scale! I have 9 Wyze cams and just ordered a Wyze band! Thank you!,5,"['You Wyze people make amazing products ! Love this scale !', 'I have 9 Wyze cams', 'and just ordered a Wyze band !', 'Thank you !']"
16614,16615,review,I love the look and feel of this watch. I have an Apple Watch too but this has a much better look for watch lovers.,5,"['I love the look and feel of this watch .', 'I have an Apple Watch too', 'but this has a much better look for watch lovers .']"
16718,16719,review,Bought the smaller apple watch series 5 for my granddaughter for graduation. She loves it! Definitely recommend it!,5,"['Bought the smaller apple watch series 5 for my granddaughter for graduation .', 'She loves it !', 'Definitely recommend it !']"
