,Unnamed: 0,Unnamed: 0.1,ReviewID,Page Type,Full Text,Rating,Segments,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
52,52,27153,27154,review,"apple watch has so many uses besides a watch, the cellular ease of use makes life easy when i'm outside running.",5,"[ 'apple watch ha so many us ' , 'besides a watch , ' , 'the cellular ease of use make life easy ' , 'when i ' m outside running . ' ]",0,0,0,1,0,0,0,0,0
53,53,27203,27204,review,"i had always had fitbits, decided to get an apple watch and so far i love it. still learning set up and functions.",5,"[ ' i had always had fitbits , ' , 'decided to get an apple watch and so far i love it . ' , 'still learning set up and function . ' ]",0,0,0,0,0,0,0,0,0
54,54,27350,27351,review,great item to help give your apple watch some style and originality. easy to use and to adjust to your wrist size.,5,"[ 'great item ' , 'to help give your apple watch some style and originality . easy ' , 'to use ' , 'and to adjust to your wrist size . ' ]",0,0,0,1,1,0,0,0,0
55,55,27730,27731,review,i use this to plug my 2 iphones and apple watch into at night and for other usb chargeable devices during the day.,5,"[ ' i use this ' , 'to plug my 2 iphones and apple watch into at night and for other usb chargeable device during the day . ' ]",0,0,0,0,0,0,0,0,0
57,57,28477,28478,review,this fitbit is great. many of the same features as apple watch but much smaller and much cheaper. would recommend!,5,"[ 'this fitbit is great . many of the same feature ' , 'as apple watch but much smaller and much cheaper . ' , 'would recommend ! ' ]",0,0,0,0,0,0,0,0,0
59,59,29162,29163,review,galaxy watch is no different than the apple watch works the same way! i go back and fourth with apple and android!,5,"[ ' is no different ' , 'than the apple watch work the same way ! ' , ' i go back ' , 'and fourth with apple and android ! ' ]",0,0,0,0,0,0,0,0,0
60,60,29325,29326,review,my daughter loves her series 3 apple watch. it has all the features she wanted to kept track of her fitness goals.,5,"[ 'my daughter love her series 3 apple watch . ' , 'it ha all the feature ' , 'she wanted to kept track of her fitness goal . ' ]",0,0,0,0,0,0,0,0,0
61,61,29480,29481,review,love the new fitbit versa 3. shipped to my home timely matter. would i recommend best buy and the new fitbit? yes!,5,"[ 'love the new fitbit  . shipped to my home timely matter . ' , 'would i recommend best buy and the new fitbit ? yes ! ' ]",0,0,0,0,0,0,0,0,0
62,62,29627,29628,review,i love my new apple watch. it's convenient for hands free operation and offers so many health amd safety features.,5,"[ ' i love my new apple watch . ' , `` it 's convenient for hand free operation '' , 'and offer so many health amd safety feature . ' ]",0,0,0,0,0,0,0,0,0
63,63,29918,29919,review,love my apple watch! quality product! i chose the gps model. i love the new os and all of the features it entails.,5,"[ 'love my apple watch ! quality product ! ' , ' i chose the gps model . ' , ' i love the new o and all of the feature it entail . ' ]",0,0,0,0,0,0,0,1,0
64,64,30296,30297,review,"battery life is amazing does more than the apple watch at a 1/4 the cost, just can't reply to text or make calls",5,"[ 'battery life is amazing doe more than the apple watch at a 1/4 the cost , ' , 'just can ' t reply to text ' , 'or make call ' ]",0,0,0,0,0,1,0,1,0
66,66,30413,30414,review,the apple watch is a fun toy and status symbol for a lot of people.\nmost people do not used most of the features.,5,[ 'the apple watch is a fun toy and status symbol for a lot of people.\\nmost people do not used most of the feature . ' ],1,0,0,0,0,0,0,0,0
67,67,31064,31065,review,love to be able to charge up my first generation apple watch after thinking i lost it! piece is working wonderful!,5,"[ 'love to be able to charge up my first generation apple watch ' , 'after thinking ' , ' i lost it ! ' , 'piece is working wonderful ! ' ]",0,0,0,0,0,0,0,1,0
68,68,31109,31110,review,i bought this apple watch for myself and i absolutely love it! never thought i'd want one but so glad i got it!!,5,"[ ' i bought this apple watch for myself ' , 'and i absolutely love it ! ' , 'never thought ' , ' i ' d want one but so glad i got it ! ! ' ]",0,0,0,0,0,0,0,0,0
69,69,31392,31393,review,i love my apple watch and i love that i was able to purchase this in 12 months using my credit card with best buy.,5,"[ ' i love my apple watch ' , 'and i love ' , 'that i wa able to purchase this in 12 month ' , 'using my credit card with best buy . ' ]",0,0,0,0,0,0,0,0,0
71,71,31776,31777,review,the apple watch series six has become my favorite watch. the functionality is off the charts and so user friendly.,5,"[ 'the ries six ha become my favorite watch . ' , 'the functionality is off the chart ' , 'and so user friendly . ' ]",0,0,0,1,0,0,0,0,0
72,72,32131,32132,review,i am so excited to finally have my apple watch. it is so easy to use and i love all the information i get from it.,5,"[ ' i am so excited to finally have my apple watch . ' , 'it is so easy to use ' , 'and i love all the information i get from it . ' ]",0,0,0,1,0,0,0,0,0
73,73,32138,32139,review,nice travel stand for charging apple watch. whether traveling ire just setting it by your bed on your night stand.,5,"[ 'nice travel stand for charging apple watch . ' , 'whether traveling ire just setting it by your bed on your night stand . ' ]",0,0,0,0,0,0,0,0,0
74,74,32366,32367,review,i recently switched from an apple watch to a samsung one and i loved how easy the transition was. easy to maneuver,5,"[ ' i recently switched from an apple watch to a samsung one ' , 'and i loved ' , 'how easy the transition wa . easy to maneuver ' ]",0,0,0,0,0,0,0,0,0
75,75,32624,32625,review,perfect fit for my fitbit charge 2 and much cheaper than the fitbit replacement band. too soon to rate durability.,5,"[ 'perfect fit for my  and much cheaper than the fitbit replacement band . ' , 'too soon to rate durability . ' ]",0,0,0,0,0,0,0,0,0
76,76,32661,32662,review,best apple watch i have ever bought i would highly recommend to anyone plus it comes with 6 months of apple sport!,5,"[ 'best apple watch i have ever bought ' , ' i would highly recommend to anyone plus ' , 'it come with 6 month of apple sport ! ' ]",0,0,0,0,0,0,0,0,0
77,77,32803,32804,review,my husband loves his apple watch. definitely great for him to quickly check on things while he's at the station.,5,"[ 'my husband love his apple watch . definitely great for him to quickly check on thing ' , 'while he ' s at the station . ' ]",0,0,0,0,0,0,0,0,0
78,78,32960,32961,review,we picked this up for mom of the house and she was happy. worked for her. just upgraded to an apple watch in 2021.,5,"[ 'we picked this up for mom of the house ' , 'and she wa happy . worked for her . just upgraded to an apple watch in 2021 . ' ]",1,0,0,0,0,0,0,0,0
80,80,34176,34177,review,"this apple watch is incredible, it's fast, the sound is great on in it and works perfectly i would 100% recommend.",5,"[ 'this apple watch is incredible , ' , `` it 's fast , '' , 'the sound is great on in it ' , 'and work perfectly i would 100 % recommend . ' ]",0,0,0,0,0,0,0,0,0
81,81,34225,34226,review,i'm enjoying my new apple watch. it is pricey but it does everything that you'd expect it to do!! happy buyer!,5,"[ ' i ' m enjoying my new apple watch . ' , 'it is pricey ' , 'but it doe everything ' , 'that you ' d expect it to do ! ! ' , 'happy buyer ! ' ]",1,0,0,0,0,0,0,0,0
82,82,34298,34299,review,clear and gray bumpers give me some variety with my different watch bands. perfect fit with my apple watch 7 44mm.,5,[ 'clear and gray bumper give me some variety with my different watch band . perfect fit with my apple watch 7 44mm . ' ],0,0,0,1,0,0,0,0,0
85,85,666,667,review,absolute garbage. apple watch stopped working after a week. screen does not turn on. company won't respond to me.,1,"[ 'absolute garbage . apple watch stopped ' , 'working after a week . screen doe not turn on . company ' , 'won ' t respond to me . ' ]",0,0,0,0,0,0,0,0,0
86,86,1233,1234,review,even with help from the geek squad we could not activate the watch. ended up exchanging and getting an apple watch.,1,"[ 'even with help from the geek squad we could not activate the watch . ended up exchanging ' , 'and getting an apple watch . ' ]",0,0,0,0,0,0,0,0,0
88,88,2567,2568,review,"unfortunately, this rose gold does not have enough rose in it so it doesn't match the rose gold of the apple watch.",2,"[ 'unfortunately , this rose gold doe not have enough rose ' , `` in it so it doe n't match the rose gold of the apple watch . '' ]",0,0,0,0,0,0,0,0,0
89,89,3913,3914,review,"did not fit very well on the fitbit versa 3, it only lasted one day started to peel, now all i can see are bubbles.",3,"[ 'did not fit very well on the fitbit  , ' , 'it only lasted one day started to peel , ' , 'now all i can see are bubble . ' ]",0,0,0,0,0,0,0,0,0
90,90,4228,4229,review,when i bought this dock we did not know that the apple watch cord/chargers connection is smaller that a normal cord,3,"[ 'when i bought this dock ' , 'we did not know ' , 'that the apple watch cord/chargers connection is smaller ' , 'that a normal cord ' ]",0,0,0,0,0,0,0,0,0
92,92,4854,4855,review,"very nice looking, fit perfect for fitbit ionic. it only lasted about over a year, so it's not for a long time use.",3,"[ 'very nice looking , fit perfect for  . it only lasted about over a year , ' , `` so it 's not for a long time use . '' ]",0,0,0,0,0,0,0,0,0
93,93,5129,5130,review,i love my apple watch great quality the only issue was i would get like this radiation circle in the top of my hand,3,"[ ' i love my apple watch great quality ' , 'the only issue wa i would get like this radiation circle in the top of my hand ' ]",0,0,0,0,0,0,0,1,0
95,95,6772,6773,review,"this is the best i've used for counting steps, better than the apple watch. but it lacks some other functionality",4,"[ 'this is the best ' , ' i ' ve used for counting step , better than the apple watch . ' , 'but it lack some other functionality ' ]",0,0,0,0,0,0,0,0,0
96,96,7795,7796,review,great tech to remind yourself to stand up tall and help with posture. i usually wear it when i wear my apple watch.,4,"[ 'great tech to remind yourself ' , 'to stand up tall ' , 'and help with posture . ' , ' i usually wear it ' , 'when i wear my apple watch . ' ]",0,0,0,0,0,0,0,0,0
97,97,8024,8025,review,insignia™ - apple watch magnetic charging cable and silicone cable wrap is used in my car for emergency charging.,4,[ 'insignia™ - apple watch magnetic charging cable and silicone cable wrap is used in my car for emergency charging . ' ],0,0,0,0,0,0,0,0,0
100,100,8999,9000,review,amazing low price version of the apple watch. works great and a huge improvement over the series 1 i upgraded from.,5,[ 'amazing low price version of the apple watch . work great and a huge improvement over the series 1 i upgraded from . ' ],0,0,0,0,0,1,0,0,0
102,102,9182,9183,review,best apple watch i've had. no issues with this one. use every day and no issues when i wear swimming or in shower,5,"[ 'best apple watch ' , ' i ' ve ' , 'had . no issue with this one . use every day and no issue ' , 'when i wear swimming or in shower ' ]",0,0,0,0,0,0,0,0,0
103,103,9357,9358,review,great for the apple watch. hold the watch nice and tight. great for people wearing the watch and doing manual work.,5,"[ 'great for the apple watch . hold the watch nice and tight . great for people ' , 'wearing the watch ' , 'and doing manual work . ' ]",0,0,0,0,0,0,0,0,0
104,104,9648,9649,review,this apple watch is great. lots of features and really easy to use. nice styling and a comfortable nike sport band.,5,"[ 'this apple watch is great . lot of feature ' , 'and really easy to use . nice styling and a comfortable nike sport band . ' ]",0,0,0,1,0,0,0,0,0
106,106,9950,9951,review,my apple watch had a hair line crack and this product sealed the screen. i can use my watch for pool parties again.,5,"[ 'my apple watch had a hair line crack ' , 'and this product sealed the screen . ' , ' i can use my watch for pool party again . ' ]",0,0,0,0,0,0,0,0,0
108,108,10133,10134,review,great watch love the color it is a big upgrade from the last gen of apple watch the battery life is vastly improved,5,"[ 'great watch love the color ' , 'it is a big upgrade from the last gen of apple watch the battery life is vastly improved ' ]",0,0,0,0,1,0,1,1,0
109,109,10164,10165,review,wanted to get a new apple watch got the series 6 it is so much nice that the 4. good price for the cellular and gps,5,"[ 'wanted to get a new apple watch ' , 'got the series 6 ' , 'it is so much nice ' , 'that the 4 . good price for the cellular and gps ' ]",0,0,0,0,0,1,0,0,0
110,110,10439,10440,review,replaced my apple watch 3 (gps) with this model. got it when it was on sale—saved around $150 off msrp. me likey.,5,"[ 'replaced my apple watch 3 ' , ' ( gps ) ' , 'with this model . got it ' , 'when it wa on sale—saved around $ 150 off msrp . me likey . ' ]",0,0,0,0,0,0,0,0,0
111,111,11022,11023,review,fits seamlessly with my apple watch 5. it's breathable and easier on my skin than the original silicone watch band.,5,"[ 'fits seamlessly with my apple watch 5 . ' , `` it 's breathable and easier on my skin than the original silicone watch band . '' ]",0,0,0,0,0,0,0,0,0
112,112,11098,11099,review,this was a wonderful addition to my apple watch ad i was always smashing my arm against something. no more worries.,5,"[ 'this wa a wonderful addition to my apple watch ad ' , ' i wa always smashing my arm against something . no more worry . ' ]",0,0,0,0,0,0,0,0,0
113,113,11333,11334,review,apple watch is always a great gift for good friend.\nit help monitor the health and motivate people to move around.,5,"[ 'apple watch is always a great gift for good friend.\\nit help monitor the health and motivate people ' , 'to move around . ' ]",0,0,0,0,0,0,1,0,0
114,114,11494,11495,review,i choose to upgrade from the apple watch 4 to the 6 and i totally love the new features on the watch. great choice.,5,"[ ' i choose to upgrade from the apple watch 4 to the 6 ' , 'and i totally love the new feature on the watch . great choice . ' ]",0,0,0,0,0,0,0,0,0
115,115,11764,11765,review,took a while to get on board with the apple watch and i am so glad that i did. i love it. i really enjoy the rings.,5,"[ 'took a while ' , 'to get on board with the apple watch ' , 'and i am so glad ' , 'that i did . ' , ' i love it . ' , ' i really enjoy the ring . ' ]",1,0,0,0,0,0,0,0,0
116,116,11796,11797,review,this apple watch is awesome. purchased it as a present for my son and he loves it. very easy and convenient to use.,5,"[ 'this apple watch is awesome . ' , 'purchased it a a present for my son ' , 'and he love it . very easy and convenient to use . ' ]",0,0,0,1,0,0,0,0,0
118,118,12076,12077,review,love how it tracks my sleep and tone. i have the apple watch 6 and it doesn't track my sleep as well as the halo.,5,"[ 'love how it track my sleep and tone . ' , ' i have the apple watch 6 ' , 'and it doesn ' t track my sleep a well a the halo . ' ]",0,0,0,0,0,0,1,0,0
119,119,12237,12238,review,i love this computer it's great for school and just surfing the internet! it syncs with my phone and apple watch!,5,"[ ' i love this computer it ' s great for school ' , 'and just surfing the internet ! it syncs with my phone and apple watch ! ' ]",0,0,0,0,0,0,0,0,0
120,120,12584,12585,review,i have debating where to get the apple watch and now that i finally got it... i love it! specially when i exercise.,5,"[ ' i have debating where to get the apple watch ' , 'and now that i finally got it ... ' , ' i love it ! specially ' , 'when i exercise . ' ]",0,0,0,0,0,0,0,0,0
123,123,13315,13316,review,just like my apple watch one it does the job but with more option than the generation 1 watch. great price as well.,5,"[ 'just like my apple watch one ' , 'it doe the job but with more option than the generation 1 watch . great price a well . ' ]",0,0,0,0,0,1,0,0,0
124,124,13690,13691,review,purchased for wife as gift. setup took minutes and we have had no issues with device. works great with apple watch.,5,"[ 'purchased for wife a gift . setup took minute ' , 'and we have had no issue with device . work great with apple watch . ' ]",0,0,0,0,0,0,0,0,0
126,126,13928,13929,review,"love the apple watch series 5, a good apple watch product if you don't want the most recent i would recommend this!",5,"[ 'love the  , a good apple watch product ' , `` if you do n't want the most recent i '' , 'would recommend this ! ' ]",0,0,0,0,0,0,0,0,0
127,127,14101,14102,review,bought this to replace my apple watch. this is much sleeker and the battery life is awesome. definitely an upgrade.,5,"[ 'bought this ' , 'to replace my apple watch . ' , 'this is much sleeker ' , 'and the battery life is awesome . definitely an upgrade . ' ]",0,0,0,0,0,0,0,1,0
128,128,14429,14430,review,love the apple watch nike+ i already have an apple watch but this one was a gift for my daughter who is an athlete.,5,"[ 'love the apple watch nike+ i already have an apple watch ' , 'but this one wa a gift for my daughter ' , 'who is an athlete . ' ]",0,0,0,0,0,0,0,0,0
129,129,14602,14603,review,i have never owned an apple watch before but i love that i finally decided to get one! this thing does everything!!,5,"[ ' i have never owned an apple watch ' , 'before but i love ' , 'that i finally decided to get one ! this thing doe everything ! ! ' ]",0,0,0,0,0,0,0,0,0
130,130,14711,14712,review,my wife loves her apple watch. she never knew how much she would use this thing. very useful addition to her phone.,5,"[ 'my wife love her apple watch . ' , 'she never knew ' , 'how much she would use this thing . ' , 'very useful addition to her phone . ' ]",0,0,0,0,0,0,1,0,0
131,131,14747,14748,review,love this watch. very easy to use. i own a apple watch but hands down this is better for exercising and sleep track,5,"[ 'love this watch . very easy to use . ' , ' i own a apple watch ' , 'but hand down this is better for exercising and sleep track ' ]",0,0,0,1,0,0,0,0,0
134,134,15527,15528,review,went from the first generation of the apple watch to the last and its by far the best one ! would recommend to buy.,5,[ 'went from the first generation of the apple watch to the last and it by far the best one ! would recommend to buy . ' ],0,0,0,0,0,0,0,0,0
136,136,15620,15621,review,had the apple watch series 1 and upgraded to this. similar but love the battery life and water resistance on the 3!,5,"[ 'had the  and upgraded to this . similar ' , 'but love the battery life and water resistance on the 3 ! ' ]",0,0,0,0,0,0,0,1,0
137,137,16053,16054,review,apple watch series 5 is really great. bb made it very easy to order and delivery was much quicker than anticipated!,5,"[ ' is really great . ' , 'bb ' , 'made it very easy to order and delivery wa much quicker ' , 'than anticipated ! ' ]",0,0,0,1,0,0,0,0,0
138,138,16205,16206,review,easy to adjust the watch band. very stylish. when people realize its an apple watch they instantly want one as well,5,"[ 'easy to adjust the watch band . very stylish . ' , 'when people realize it an apple watch ' , 'they instantly ' , 'want one a well ' ]",0,0,0,1,1,0,0,0,0
139,139,16318,16319,review,you wyze people make amazing products! love this scale! i have 9 wyze cams and just ordered a wyze band! thank you!,5,"[ 'you wyze people make amazing product ! love this scale ! ' , ' i have 9 wyze cam ' , 'and just ordered a  ! ' , 'thank you ! ' ]",0,0,0,0,0,0,0,0,0
140,140,16614,16615,review,i love the look and feel of this watch. i have an apple watch too but this has a much better look for watch lovers.,5,"[ ' i love the look and feel of this watch . ' , ' i have an apple watch too ' , 'but this ha a much better look for watch lover . ' ]",0,0,0,0,1,0,0,0,0
141,141,16718,16719,review,bought the smaller apple watch series 5 for my granddaughter for graduation. she loves it! definitely recommend it!,5,"[ 'bought the smaller  for my granddaughter for graduation . ' , 'she love it ! ' , 'definitely recommend it ! ' ]",0,0,0,0,0,0,0,0,0
142,142,17172,17173,review,it's much cheaper and reliable than apple watch . it's not so complicated to use and very simple. i love it!!!!,5,"[ 'it ' s much cheaper and reliable than apple watch . ' , 'it ' s not so complicated ' , 'to use and very simple . ' , ' i love it ! ! ! ! ' ]",0,0,0,1,0,0,0,0,1
143,143,17573,17574,review,i am absolutely in love with my apple watch! this is probably one of my favorite tech toys. i feel like dick tracy!,5,"[ ' i am absolutely in love with my apple watch ! this is probably one of my favorite tech toy . ' , ' i feel like dick tracy ! ' ]",0,0,0,0,0,0,0,0,0
144,144,17596,17597,review,apple watch is easy to use and lasts all day on a single charge. quality of screen is great. would recommend highly,5,"[ 'apple watch is easy to use ' , 'and last all day on a single charge . ' , 'quality of screen is great . ' , 'would recommend highly ' ]",0,0,0,1,0,0,0,1,0
