,ReviewID,Page Type,Full Text,Rating
1539,1540,review,"Update: Now my Fitbit Charge 5 has problems syncing. Tech support is basically ""restart it"", which I had to do with both the watch and the app to get it to sync this morning before calling support. It shows I got less than 3 hours sleep last night even though I was is bed from 10:30pm to 8am. I thought I was sleeping!! I'm wearing it correctly and I sync it before going to bed. This watch is pretty much worthless to me. This watch is horrible for sleep tracking. You need to have at least 3 hours of continuous sleep for it to track, so if you get up to go to the bathroom, it won't track. Also, the pedometer isn't very accurate. I can get all my steps winding yarn. Most of the important features have an extra monthly fee. That sucks. I don't use it much for workouts. It's nice and bright to read. I had a Garmin Vivosmart 4 previously and liked it much better for health monitoring. It would vibrate when my heart raced and I needed to calm down. It tracked sleep great. No extra fees. But the band was permanently attached to the watch and it broke.",1
1629,1630,review,"-edited- The device itself is plagued by software issues . The included wristband gives me horrible rash with blistering after wearing it for a week. Whoever decided to go for that material need to get a lesson in dermatology ! Also : make longer bands for those of us with larger wrists : the band is not long enough. Even in the last hole the damn thing is tight. So the suggestion to wear it 'loose' doesn't work for me ! i have no problem with any watch including the apple watch on that hand. Just this thing. bad design ! The software issues are very annoying. after weeks of wearing it the things still says 'acquiring baseline'. and 'wear the device three days in a row'. It's been weeks... spo2 monitoring doesn't work, body temp doesnt work. Another problem : time sync issues crash the EKG application. I left Chicago on a plane. The fitbit lost time sync with my phone. The result : the EKG kept throwing an error and asked to restart. I could not get the watch to resync time with the phone. Some non-obvious setting allows you to turn automatic time zone adjustment off. They suggested turning sync off and back on. Then the clock adjusted itself and the EKG worked again. That is just sloppy code. When i needed the EKG most (i had an afib episode in flight and wanted to record it) it didn't work. Half baked device. I bought an apple watch 7. that just works.",1
1665,1666,review,"Extremely frustrated. This watch is not registering my sleep, my heart rate, or my steps on a consistent basis. For instance, I had spent all day cleaning on Friday, however it said I had only walked 71 steps. And as someone recovering from COVID, I’ve been relying a lot on the HR monitor, which will often only display a line, where my HR should read. Finally, I fell asleep last night at 10:30 pm, and my watch didn’t start calculating it until 2:30am, and some nights are not being calculated at all. I am beyond irritated, as this was $140 and is not even working as well as my old Fitbit charge! Also, it is out of 30 day window so I am unable to exchange through Amazon!😠😡🤬",1
1817,1818,review,"I have had 2 previous Fitbits and have never had any problems with. I’m constantly removing and reinstalling the watch on my phone because it suddenly just stops working right. The sleep part is never accurate, last night it had the right time I went to sleep but said I woke up at 4:30…I didn’t wake up until 7:15. This happens almost every night. I bought this Fitbit for the advanced options, now I regret not get the Apple Watch instead. I do not recommend this Fitbit at all.",1
1818,1819,review,"I have had 2 previous Fitbits and have never had any problems with. I’m constantly removing and reinstalling the watch on my phone because it suddenly just stops working right. The sleep part is never accurate, last night it had the right time I went to sleep but said I woke up at 4:30…I didn’t wake up until 7:15. This happens almost every night. I bought this Fitbit for the advanced options, now I regret not get the Apple Watch instead. I do not recommend this Fitbit at all. 1.0 out of 5 stars Remove watch from my phone and reinstall constantly By Denise R Stanley on August 8, 2021 I have had 2 previous Fitbits and have never had any problems with. I’m constantly removing and reinstalling the watch on my phone because it suddenly just stops working right. The sleep part is never accurate, last night it had the right time I went to sleep but said I woke up at 4:30…I didn’t wake up until 7:15. This happens almost every night. I bought this Fitbit for the advanced options, now I regret not get the Apple Watch instead. I do not recommend this Fitbit at all. Images in this review",1
1849,1850,review,"Fitbit charge 4 was working great for the first 30 days. Purchased on June 23, 2021 and the fitbit stopped holding a charge on July 27, 2021. return window is closed and I am out $130 now. This is not okay and I have been utilizing this to track my fitness goals. Since fitbit is not an option I will find something else.",1
1973,1974,review,"today I went for the longest bike ride I have done in a very long time. I left at 5:56AM and finished at 9:04. Unfortunately, the Versa 3 dutifully logged this as 1 hour an 46 minutes. The ride was about 35 miles, but the Versa said it was something like 13. I chatted with Fitbit support and they said the auto-recognize feature somehow auto recognized a bike ride in the middle of my bike ride, so the watch lost a lot of data. It does not really make sense to me because there is no record of the auto-recognize event. In any case, I've turned that 'feature' off now, but I'm really kicking myself for not spending a few more dollars on the Apple watch. Every time I call fitbit support to complain that the device simply doesn't work, they ask me to update the SW. Problems keep happening. See the attached picture. Yes, I biked today from 12:00 to 2:20P, but I did not bike from san Jose to San Antonio TX in that time and if i had, it would have been more than 5.48 miles. Complete junk.",1
1975,1976,review,"I am very very much disappointed that when I learned that I can't return this item. I don't like fitbit versa 3. it's hard to use, there are no buttons to operate. HARD TO PAIR WITH MY PHONE. When i ordered this I thought I will give it a try. they didn't mentioned that it is not returnable. STAY AWAY FROM THIS FITBIT VERSA 3. SAVE YOUR MONEY.",1
1999,2000,review,"I have noticed that I have to charge this fitbit Versa 2 very often, so I noted in my daytimer when I charged it to keep track. I charged on Thursday evening, wore the watch Friday to the gym. Today Sunday morning at 7:45AM I get notice, that the battery is low. What? I had a fitbit One for over 12 years, there was no charging problem. It finally gave up. Guess they don't make products to last anymore. I mainly want it for sleep tracking, it didn't track consistently either. I'm returning it.",1
2020,2021,review,"First off, this is arch was advertised in excellent condition, which to me, means like new condition. This was FAR from that. There were scratches along the edges, which weren’t terrible for a watch that would have been classified as “good” condition. That was not the deal breaker though. The battery only lasted from 7am when I took it off the charger, until about 5:15pm. Now, I’m no Apple Watch know-it-all, but my series 2 battery, which has never been replaced, lasts way longer than that!!! I’ve sent it back. Hopefully, I get a quick refund to make a new purchase soon. Very disappointing… when it says excellent condition, I expect nothing less.",1
2137,2138,review,"I am very disappointed in this watch. The glass is far to easy to scratch or crack from normal wear and tear. I bought this watch less than 90 days ago and the first one cracked the day after I got it when I knocked it against my countertop as I was cooking dinner. I sent that one back and received a new one. I've had the second watch for approximately 80 days and today it cracked when it fell approximately 18"" off a park bench. In the interim it got significantly scratched from normal wear. You can see in the picture just how scratched it got even before it cracked. I'm just a normal adult female wearing it during normal every day activities...this should have far better durability than this :0( I reached out to Fitbit to see if they would make it right and they refused :0(. I'm super disappointed in this product and in Fitbit's response to making it right. I previously had a Fitbit Versa 2 that I loved and did NOT have these problems with...I will never buy another Fitbit watch again...so disappointed :0(. If you are someone who wants to wear this watch as your normal day-to-day watch, I would stay away. tt C. McAllister 1.0 out of 5 stars The glass watch face is way to sensitive to cracking and Fitbit refuses to make it right :0/ Reviewed in the United States on July 24, 2022 I am very disappointed in this watch. The glass is far to easy to scratch or crack from normal wear and tear. I bought this watch less than 90 days ago and the first one cracked the day after I got it when I knocked it against my countertop as I was cooking dinner. I sent that one back and received a new one. I've had the second watch for approximately 80 days and today it cracked when it fell approximately 18"" off a park bench. In the interim it got significantly scratched from normal wear. You can see in the picture just how scratched it got even before it cracked. I'm just a normal adult female wearing it during normal every day activities...this should have far better durability than this :0( I reached out to Fitbit to see if they would make it right and they refused :0(. I'm super disappointed in this product and in Fitbit's response to making it right. I previously had a Fitbit Versa 2 that I loved and did NOT have these problems with...I will never buy another Fitbit watch again...so disappointed :0(. If you are someone who wants to wear this watch as your normal day-to-day watch, I would stay away. Images in this review",1
2310,2311,review,"I used to have a Fitbit Versa I loved it so much. It worked for years, stayed charged for 2 days. Sadly it pasted away, so I thought I might as well upgrade, for about a month I read review, and details, and what this Fitbit offered that the other didn’t. I did a ton of research, this was supposed to be the best. Where do I start… CHARGE TIME: Sometimes they seem way quicker than others. LENGTH OF CHARGE HELD: Max 18 hours and 16 minutes. Somedays however, I’m lucky to get through half a day without having to recharge. Let me make this clear; I have it set on the dimmest screen setting, I have it set to only come on manually ONLY, I am NOT using GPS because I heard that was why my battery was running down so quickly, I don’t have anything running in the background to my knowledge, and I have checked and rechecked that. CLOCK FACE: There are tons of them right… with this watch do NOT expect to used 98% of them because you’ll constantly get a ❌ uninstall the app, reinstall the app, uninstall the watch from your app, reinstall the watch to your app. Try that. That don’t work, turn off your watch, uninstall your watch from your app, uninstall the app, wait 5-10 minutes, reinstall the app, turn on your watch, reinstall your watch… we’ll after doing that about 2-4 times that may finally work. (Yes as you can tell I have called customer support my share of times in these few months). NOTIFICATION: The calls and notifications you are supposed to receive in your watch, those will be you wake up alarm that will scare you to death while your sleeping after a long day at work, trying to rest up and be ready for your day of work when the sun comes up. That’s what I’m doing up at 1:30 in the morning NOW on this Wednesday morning writing a review instead of sleeping. Watch now in the kitchen and I’m going back to bed. I’d advise an Apple Watch for Apple users, and an anything besides this for everyone else. I am thinking of looking into an Apple Watch on my lunch break. Sweet dreams everyone.",1
2449,2450,review,"You have to sync the watch daily for it to keep accurate time. If you fail to sync it daily, it will be off by 10 minutes. Just like the Apple Watch I had, sometimes texts come through, other times it doesn't. It's a crap-shoot. Only upside from the Apple Watch is that it doesn't cut off my music when I'm working out and the timer ends. I like the sleep function, seems pretty accurate. I'm still trying to figure out how to set multiple countdown timers (2 min, 1:30 min, 1 min, 45 sec, 30 sec). Was able to have multiple timers on Apple Watch, but not on this one.",2
2516,2517,review,"Let me start by saying I had no intention of switching from my Charge 4 except that the Charge 4 decided to no longer sync with my phone. After many hours with FB support, turns out they don't support ""newer"" phones, see my review of the Charge 4 if you are thinking about it. So I was stuck with needing to either downgrade my phone or change ecosystems. I did a LOT of research and decided to take a chance on Amazfit who is newer in the space. I managed to get an old Charge 3 I had to work again so I did a 5 day side by side trial. I wholly believe in a Test and Learn philosophy so it was fun to try both and see what switching would mean. Pros of the GTS 2e: - It looks good, some people could mistake it for an Apple watch which I believe was on purpose. - I like an app that defaults to dark mode - It works with my phone - LOTS of interesting, hight stat watch faces in a variety of patterns and colors - Standard 20mm band so loads of options to customize Cons (brace yourself): - Advertised to get up to 28 days of battery life, 14 in real world use and 7 in high intensity use. I got about 48 hours with constant heart rate and blood ox tracking - Heart rate tracking WAY underperforms / under reports. I am a bit OCD on my training and do a lot of HIIT. In the image you can see the Charge 3 tracking on the left (I also wear a chest strap monitor for accuracy that matched the FB w/in a beat or 2, did I mention OCD). On the right you can see the same workout tracked by the 2e. I even launched the workout manually to give it every chance possible. - Sleep tracking is overly optimistic. Side by side again (second image) FB shows 2.5 hours of REM and 1:18 deep which is pretty consistent for past 3 years. Score (not shown) was 82, again pretty consistent. 2e shows a score of 94 and VERY different sleep stages. While it may be right and FB was wrong all along, that seems unlikely. It also does not track any time ""awake"" even if you get up and go to the bathroom in the middle of the night. - App is not intuitive. While it is nice to have some screens in dark mode, others randomly switch to light mode with no control that I have found. See difference in the images. The homescreen always puts the last thing on top and there is no way to set and change what you want to see that is important to you. While it is interesting to track ""stress"" I really don't want that pushing down other stuff I find more interesting. FB wins with the ability to move things around and even delete things you don't care about (calories) to customize your screen into the same layout every time. - Step counts are wildly inaccurate. It is Covid times and I have been walking many of the same routes for months. The 2e struggles with auto-recognition of walking as an exercise and the steps are way undercounted. Particularly if you are not moving your arms. I was walking behind my snowblower for a few hours (big snow in CHI) and the FB reported 8k steps where the 2e was only half that amount. Having done this many times as well, I will go with the FB measurement as being closer. If I keep my hands in my coat on a walk, it tends to under count by 10-20%. So where does that leave me? Well, I am returning the 2e as I managed to get my Charge 4 resurrected and connected. If/when it disconnects I plan to look at Garmin as my new ecosystem as they are well established in the space and likely have worked out more of the kinks. If you are in the market for a fitness tracker, I still prefer the Fitibit ecosystem but double check supported phones before you buy. If yours is not supported then you may be in for a world of hurt with support. 2.0 out of 5 stars Poor battery life, heart rate tracking and more By Randy on February 3, 2021 Let me start by saying I had no intention of switching from my Charge 4 except that the Charge 4 decided to no longer sync with my phone. After many hours with FB support, turns out they don't support ""newer"" phones, see my review of the Charge 4 if you are thinking about it. So I was stuck with needing to either downgrade my phone or change ecosystems. I did a LOT of research and decided to take a chance on Amazfit who is newer in the space. I managed to get an old Charge 3 I had to work again so I did a 5 day side by side trial. I wholly believe in a Test and Learn philosophy so it was fun to try both and see what switching would mean. Pros of the GTS 2e: - It looks good, some people could mistake it for an Apple watch which I believe was on purpose. - I like an app that defaults to dark mode - It works with my phone - LOTS of interesting, hight stat watch faces in a variety of patterns and colors - Standard 20mm band so loads of options to customize Cons (brace yourself): - Advertised to get up to 28 days of battery life, 14 in real world use and 7 in high intensity use. I got about 48 hours with constant heart rate and blood ox tracking - Heart rate tracking WAY underperforms / under reports. I am a bit OCD on my training and do a lot of HIIT. In the image you can see the Charge 3 tracking on the left (I also wear a chest strap monitor for accuracy that matched the FB w/in a beat or 2, did I mention OCD). On the right you can see the same workout tracked by the 2e. I even launched the workout manually to give it every chance possible. - Sleep tracking is overly optimistic. Side by side again (second image) FB shows 2.5 hours of REM and 1:18 deep which is pretty consistent for past 3 years. Score (not shown) was 82, again pretty consistent. 2e shows a score of 94 and VERY different sleep stages. While it may be right and FB was wrong all along, that seems unlikely. It also does not track any time ""awake"" even if you get up and go to the bathroom in the middle of the night. - App is not intuitive. While it is nice to have some screens in dark mode, others randomly switch to light mode with no control that I have found. See difference in the images. The homescreen always puts the last thing on top and there is no way to set and change what you want to see that is important to you. While it is interesting to track ""stress"" I really don't want that pushing down other stuff I find more interesting. FB wins with the ability to move things around and even delete things you don't care about (calories) to customize your screen into the same layout every time. - Step counts are wildly inaccurate. It is Covid times and I have been walking many of the same routes for months. The 2e struggles with auto-recognition of walking as an exercise and the steps are way undercounted. Particularly if you are not moving your arms. I was walking behind my snowblower for a few hours (big snow in CHI) and the FB reported 8k steps where the 2e was only half that amount. Having done this many times as well, I will go with the FB measurement as being closer. If I keep my hands in my coat on a walk, it tends to under count by 10-20%. So where does that leave me? Well, I am returning the 2e as I managed to get my Charge 4 resurrected and connected. If/when it disconnects I plan to look at Garmin as my new ecosystem as they are well established in the space and likely have worked out more of the kinks. If you are in the market for a fitness tracker, I still prefer the Fitibit ecosystem but double check supported phones before you buy. If yours is not supported then you may be in for a world of hurt with support. Images in this review",2
2561,2562,review,"I tried the Amazon Halo for about a month, but honestly after I realized it didn't track sleep except that night everything else was lackluster. I work graveyard shift from 6:30 pm-5am. Sleep is difficult to begin with. Halo only tracks sleep between the hours of, I think, 8:00 p.m. and 6:00 a.m. Halo have a monthly fee after the initial offering to see your stats. Honestly get a Fitbit or an Apple. I have a Fitbit, but wanted to try the body fat measurement the Halo claims to have. That's the same thing that can be done with a secondary app you take a picture of yourself and it gives you a guesstimate. I didn't like it, especially after I learned that it wouldn't track my sleep.",2
2674,2675,review,"Test Devices:\r\n\r\nApple iPod nano (7th generation)\r\nBluetooth 4\r\n\r\nApple Watch Series 5 \r\nBluetooth 5\r\n\r\nApple iPad Pro 3rd Gen\r\nBluetooth 5\r\n\r\nEnd Goal: \r\n\r\nGoing for an outdoor run (9:00 to 11:00 minute pace) while listening to music\r\n\r\nResults: \r\n\r\nIn 2012 when Apple shipped the iPod nano (7th generation) I had no idea that 8 years later it would still be my gold standard device to use for listening to music while on a run. It’s small lightweight form factor fits in my pocket and the wired ear buds work great to keep my music pumping during my runs. There are two areas where the ear buds fall short: sweat and not being wireless. The Skullcandy Sesh Evo’s are the 4th Bluetooth device I’ve attempted to use to solve these two problems after the previous 3 failed.\r\n\r\nDuring the first run I paired the Sesh Evo’s with my iPod nano and fired up my playlist. The first thing I discovered is that not a single one of the Evo’s physical button controls functioned at all. Reaching into my pocket to control the Nano was going to be a point of frustration as I’m used to reaching to the chin control buttons on the earbuds for track skipping and volume adjustments. Frustrating but not the end of the world as most times my playlists don’t need to be changed during my runs. I began my pre-run stretch routine and the left ear bud fell out of my ear and rolled a few feet down the concrete. This is not a good start. I brushed it off, readjusted the fit and continued stretching. \r\n\r\nWith pre-warm up done, I began jogging. Within 10 feet the right ear bud fell out of my ear and rolled 3 feet down the asphalt. Not cool. I re-inserted the bud in the ear, made a few more adjustments and I’m back on the run. After another minute of running, I noticed the music was cutting in and out based on how I turned my head. I look right, I lose audio. I look down I lose music. I look up and the right ear bud falls out again. This run is not going well. \r\n\r\nThe Evo’s come with several different size rubber tips so I turned around and went back inside to try a different fitting. I found a size that felt more snug. I head back out, this time I made it 2 miles before the right ear bud fell out again and rolled almost 10 feet down the hill.\r\n\r\nAt this point I should call out that I sweat. A lot. Especially during longer runs and in several half-marathons over the years my ear pods will collect enough sweat to stop working temporarily. Water resistant ear buds are something I need. So I’m now standing on the side of the road trying to figure out if they are falling out because my ears are sweating or if it’s because I’m not inserting them properly. I imagine the people who live in the house I’m now in front of making odd jerking motions with my head were rather confused. I found that tilting my head forward or sideways results in the right bud falling out of my right ear almost every time yet the left stays in place. I resume running when I think I’ve finally found the magic position to keep these things in. Now I can focus on seeing if I can figure out why the music keeps cutting in and out. I make it about a hundred yards and the right ear bud decides to make a run for it down the hill. At this point I give up on the Evo’s, shove them in my pocket and finish my workout with no music. \r\n\r\nAfter a shower I spend a bit more time trying out the different tips and seeing how hard I can shake my head, how far I can tilt my head forward and sideways before they fall out. My girlfriend who sees me attempting this in front of the mirror is in tears laughing. I learn if I twist them in just the right way, they stay in with these forced motions. I head over to Skullycandy’s website where they have a video showing the proper way to insert them and am happy that this is what I’m doing. I have hope tomorrow’s workout will be better. \r\n\r\nThat night I paired the Evo’s to my iPad Pro. This time the use case was to watch a movie, and give FaceTime a try. The iPad is a Bluetooth 5 device which meant that all of the physical easy control buttons on the Evo will function. While the documentation says they are easy, in practice I found them uncomfortable to use. It actually hurts my ears to press the buttons, especially for controls like Volume Down where you have to press twice. Changing EQ Modes was brutal and what I ended up doing to get through it was to remove one of the ear buds and make the changes while it was out of my ear, then go through that awkward insert and twist motion to reposition it. I’m used to Over the Ear wireless headphones for this use case so my frustration is mounting. Once again I find using the device to control the experience is better than trying to use the Evo’s directly. In short, insert them, then try not to touch them. \r\n\r\nFor the Day 2 run, I decide to pair them with my Apple Series 5 Watch. I sync some music directly to my watch and go for a run. I’m pleased to find the music is playing smoothly and is not cutting in and out like the previous day confirming what I thought: Bluetooth 5 device connected to a Bluetooth 4 device is just not a good experience. While on my run I tried changing tracks and that right ear bud decided to go for a run of its own down the hill again. I’m thankful this neighborhood doesn’t have drain pipes. Back in my ear and back on the run, I try again. It hurt. In hindsight pressing buttons multiple time that are lodged in your ear is just not a good idea. I’m now holding my wrist up to use the controls on the Apple Watch to adjust volume or change the music. I’m trying to find the positive and I keep thinking to myself: look ma - no wires! I finish the workout; this time the Evo’s only fall out twice. \r\n\r\nBack home, and sitting at my desk, I connect the Evo’s back to my iPad Pro and spend a bit of time experimenting with button pressing. I never can find a way to press the button that doesn’t hurt my inner ears. I content removing one, making adjustments and putting it back in is the better method, but that’s really annoying. \r\n\r\nI’m going to give them another shot tomorrow, again paired with the Apple Watch. I did enjoy not needing the Nano in my pocket, I just need them to stay in my ears for the whole journey.",2
