Key,Feature
1443,already covid
1444,go vaccine
1445,good go
1446,sore throat
1447,taste smell
1448,network vaccine
1449,going turn
1450,heard vaccine
1451,turn antenna
1452,vaccine going
1453,vaccine going turn
1454,better service
1455,forward vaccine
1456,looking forward
1457,looking forward vaccine
1458,service rural
1459,vaccine making
1460,walking antenna
1461,danger vaccine
1462,ever since got
1463,since got vaccine
1464,finally get
1465,get vaccinated going
1466,might also
1467,stop wearing
1468,vaccinated going
1469,vaccinated might
1470,wearing mask
1471,president trump
1472,saying president
1473,trump get
1474,trump get vaccine
1475,company liable
1476,pfizer said
1477,pharmaceutical company liable
1478,said taking
1479,said taking vaccine
1480,taking vaccine
1481,vaccinate elderly
1482,vaccine tell
1483,china fine
1484,fine without
1485,fine without vaccine
1486,like china
1487,without vaccine
1488,without vaccine vaccine
1489,keep hearing
1490,covid conspiracy
1491,covid conspiracy theorist
1492,remote control
1493,think bill
1494,think bill gate
1495,extremely dangerous
1496,number people
1497,chip body
1498,even need
1499,get real
1500,let get
1501,need phone
1502,would even
1503,new year
1504,new year day
1505,nyc hospital
1506,vaccine anyone want
1507,year day
1508,people new
1509,boost immune
1510,boost immune system
1511,covid take
1512,effective virus
1513,flu vaccine
1514,flu vaccine effective
1515,long term
1516,system hence
1517,variant strain
1518,virus mutate
1519,virus mutates
1520,big pharma company
1521,cannot sue
1522,effect vaccine
1523,effect vaccine cannot
1524,pharma company
1525,side effect vaccine
1526,telling truth
1527,vaccine cannot
1528,around country
1529,know problem
1530,month ago
1531,covid variant
1532,long haul
1533,new vaccine
1534,one hell
1535,admit feel
1536,bit sore
1537,sore arm
1538,st shot
1539,super power
1540,third arm
1541,bill right
1542,refuse vaccination
1543,right refuse
1544,right refuse vaccination
1545,would willing
1546,covid patient
1547,get vaccine people
1548,medical personnel
1549,refuse vaccine know
1550,refusing get
1551,refusing get vaccine
1552,vaccine know
1553,vaccine people
1554,biden harris
1555,clear vaccine
1556,let clear
1557,vaccine biden
1558,get vaccine become
1559,hear get
1560,hear get vaccine
1561,vaccine become
1562,suggests vaccine
1563,deep state think
1564,jenny mccarthy
1565,lot people
1566,part deep
1567,part deep state
1568,people saying vaccine
1569,saying vaccine cause
1570,scientific study
1571,state think
1572,vaccinate dog
1573,world renowned
1574,barr investigate
1575,fire fauci
1576,investigate vaccine
1577,never trust
1578,stop deep
1579,stop deep state
1580,trump like
1581,vaccine stop deep
1582,choice want
1583,employee working
1584,help u
1585,trust deep
1586,trust deep state
1587,vaccine reason
1588,anti vax
1589,anti vax people
1590,even get
1591,get vaccine get
1592,microchip inject
1593,microchip injection
1594,people dumb
1595,phone even
1596,vax people
1597,causing cancer
1598,pretty sure
1599,green deal
1600,green energy
1601,le u
1602,vaccine big
1603,vaccine big pharma
1604,well deep
1605,well deep state
1606,pure poison
1607,vaccine pure
1608,decision deny
1609,decision deny vaccine
1610,deny vaccine undocumented
1611,vaccine undocumented
1612,chip everyone
1613,implant chip
1614,known year
1615,tower gate
1616,via covid
1617,via covid vaccine
1618,based religion
1619,someone called
1620,effect occurred
1621,hundred thousand
1622,make shit
1623,received vaccine
1624,side effect occurred
1625,lizard person
1626,many people believe
1627,kid autistic
1628,make american
1629,people making
1630,someone would
1631,take people
1632,vaccine make american
1633,got vaccine arm
1634,vaccine arm
1635,took vaccine
1636,trump covid
1637,please remember
1638,thank please
1639,vaccine fail
1640,baby get
1641,contain mercury
1642,vaccine contain
1643,vaccine contain mercury
1644,cannot trusted
1645,drug vaccine
1646,treatable virus
1647,vaccine maker
1648,body via
1649,footswitch volume
1650,going body
1651,know much
1652,like know
1653,need thing
1654,need thing like
1655,thing like
1656,vaccine need
1657,via vaccine
1658,front line
1659,open eye
1660,vaccine unsafe
1661,government official
1662,many many
1663,vaccine deadly
1664,covid vaccine make
1665,vaccine make sure
1666,control life
1667,effect virus
1668,effect virus survival
1669,fear control
1670,hour receiving
1671,let fear
1672,let fear control
1673,long term study
1674,majority people
1675,people want vaccine
1676,rate know
1677,receiving vaccine
1678,side effect virus
1679,survival rate know
1680,term study
1681,vaccine due
1682,vaccine let
1683,want vaccine
1684,important understand
1685,take vaccine guess
1686,vaccinate people
1687,vaccine guess
1688,also get
