,Unnamed: 0,ReviewID,Page Type,Full Text,Rating,SegmentedReview,SegmentedReview_processed_reviews,Hedonic Motivation,Connectivity Support,Customizability,Perceived Ease of Use,Appeal,Perceived Value,Perceived Usefulness,Device Quality,Credibility Support
26,34893,34894,review,it's perfect! i wear it alongside my apple watch and it rocks!,5,"""it's perfect !', 'i wear it alongside my apple watch and it rock !""","`` it 's perfect ! ' , ' i wear it alongside my apple watch and it rock ! ''",0,0,0,0,0,0,0,0,0
27,34900,34901,review,i loved this apple watch! i never ran into any issues with it.,5,"""i loved this apple watch !', 'i never ran into any issue with it .""","`` i loved this apple watch ! ' , ' i never ran into any issue with it . ''",0,0,0,0,0,0,0,0,0
28,34940,34941,review,works well with the apple watch and keep it protected from bumps,5,"""works well with the apple watch', 'and keep it protected from bump""","`` work well with the apple watch ' , 'and keep it protected from bump ''",0,0,0,0,0,0,0,0,0
31,35197,35198,review,good upgrade from my previous apple watch. \ntotally worth it,5,"""good upgrade from my previous apple watch .', '\\ntotally worth it""","`` good upgrade from my previous apple watch . ' , '\\ntotally worth it ''",0,0,0,0,0,0,0,0,0
32,35257,35258,review,i appreciate the information and accuracy of the fitbit charge 4.,5,"""i appreciate the information and accuracy of the fitbit charge 4 .""",`` i appreciate the information and accuracy of the fitbit charge 4 . '',0,0,0,0,0,0,0,1,1
34,35342,35343,review,i love my apple watch series 7 it is awesome love the heartrate feature,5,"""i love my apple watch series 7', 'it is awesome love the heartrate""","`` i love my apple watch series 7 ' , 'it is awesome love the heartrate ''",0,0,0,0,0,0,0,0,0
35,35387,35388,review,"apple watch was just what i wanted, the features and all are all amazing",5,"""apple watch wa just what i wanted ,', 'the and all are all amazing""","`` apple watch wa just what i wanted , ' , 'the and all are all amazing ''",0,0,0,0,0,0,0,0,0
36,35426,35427,review,we always trust best buy! \nand we love this apple watch se!,5,"""we always trust best buy !', '\\nand we love this apple watch se !""","`` we always trust best buy ! ' , '\\nand we love this apple watch se ! ''",0,0,0,0,0,0,0,0,0
37,150,151,review,works sometimes not everyday :( guess i'll buy a apple watch,1,"""works sometimes not everyday :', '( guess', 'i'll buy a apple watch""","`` work sometimes not everyday : ' , ' ( guess ' , ' i 'll buy a apple watch ''",0,0,0,0,0,0,0,0,0
38,873,874,review,difficult to install and was slightly large for the fitbit versa 3.,1,"""difficult to install and wa slightly large for the fitbit versa 3 .""",`` difficult to install and wa slightly large for the fitbit versa 3 . '',0,0,0,0,0,0,0,0,0
41,2995,2996,review,does not work for apple watch connectors every screwdriver is to big,2,"""does not work for apple watch connector every screwdriver is to big""",`` doe not work for apple watch connector every screwdriver is to big '',0,0,0,0,0,0,0,0,0
42,3565,3566,review,"this apple watch doesn't keep correct exercise time, nor calories.",3,"""this apple watch doesn't keep correct exercise time , nor calorie .""","`` this apple watch doe n't keep correct exercise time , nor calorie . ''",0,0,0,0,0,0,0,0,0
43,3566,3567,review,"this apple watch doesn\u2019t keep correct exercise time, nor calories.",3,"""this apple watch doesn't keep correct exercise time , nor calorie .""","`` this apple watch doe n't keep correct exercise time , nor calorie . ''",0,0,0,0,0,0,0,0,0
44,3627,3628,review,fully protected my apple watch! get it! i would recommend.,3,"""fully protected my apple watch !', 'get it !', 'i would recommend .""","`` fully protected my apple watch ! ' , 'get it ! ' , ' i would recommend . ''",0,0,0,0,0,0,0,0,0
45,3843,3844,review,great apple watch i love it so much easy to use. i love it.,3,"""great apple watch i love', 'it so much easy to use .', 'i love it .""","`` great apple watch i love ' , 'it so much easy to use . ' , ' i love it . ''",0,0,0,1,0,0,0,0,0
46,4652,4653,review,"very poor quality and limited instructions, will not sink with apple watch",3,"""very poor and limited instructions , will not sink with apple watch""","`` very poor and limited instruction , will not sink with apple watch ''",0,0,0,0,0,0,0,0,0
47,5047,5048,review,fitbit doesn't work like last one. guess time for apple watch.,3,"""fitbit doesn't work like last one .', 'guess time for apple watch .""","`` fitbit doe n't work like last one . ' , 'guess time for apple watch . ''",0,0,0,0,0,0,0,0,0
48,5309,5310,review,i took this item back because it did not\nfit my fitbit versa 3,4,"""i took this item back', 'because it did not\\nfit my fitbit versa 3""","`` i took this item back ' , 'because it did not\\nfit my fitbit versa 3 ''",0,0,0,0,0,0,0,0,0
49,5857,5858,review,i gave it as a gift and that person traded it for a apple watch.,4,"""i gave it a a gift', 'and that person traded it for a apple watch .""","`` i gave it a a gift ' , 'and that person traded it for a apple watch . ''",0,0,0,0,0,0,0,0,0
50,7042,7043,review,a different flair. gives apple watch cool and refreshing look.,4,"""a different flair .', 'gives apple watch cool and refreshing look .""","`` a different flair . ' , 'gives apple watch cool and refreshing look . ''",0,0,0,0,1,0,0,0,0
51,7050,7051,review,if you buy a apple watch you need this with it. it\u2019s a must buy,4,"""if you buy a apple watch you need this with it .', 'it's a must buy""","`` if you buy a apple watch you need this with it . ' , 'it 's a must buy ''",0,0,0,0,0,0,0,0,0
52,7659,7660,review,"i enjoy the features of apple watch, especially workout and activity apps.",4,"""i enjoy the of apple watch , especially workout and activity apps .""","`` i enjoy the of apple watch , especially workout and activity apps . ''",1,0,0,0,0,0,0,0,0
53,7725,7726,review,"i have enjoyed my new apple watch, would definitely recommend!",4,"""i have enjoyed my new apple watch ,', 'would definitely recommend !""","`` i have enjoyed my new apple watch , ' , 'would definitely recommend ! ''",0,0,0,0,0,0,0,0,0
54,7895,7896,review,really make your apple watch stand out make the watch look great,4,"""really make your apple watch stand out', 'make the watch look great""","`` really make your apple watch stand out ' , 'make the watch look great ''",0,0,0,0,1,0,0,0,0
55,7902,7903,review,amazing quality\n way better than apple watch. no comparison.,4,"""amazing quality\\n way better than apple watch .', 'no comparison .""","`` amazing quality\\n way better than apple watch . ' , 'no comparison . ''",0,0,0,0,0,0,0,1,0
56,7907,7908,review,best battery life. way better than apple watch. good design,4,"""best battery life .', 'way better than apple watch .', 'good design""","`` best battery life . ' , 'way better than apple watch . ' , 'good design ''",0,0,0,0,1,0,0,1,0
57,8302,8303,review,the staff was very helpful to me on buying my apple watch live it,4,"""the staff wa very helpful to me on buying my apple watch live', 'it""","`` the staff wa very helpful to me on buying my apple watch live ' , 'it ''",0,0,0,0,0,0,0,0,0
58,8799,8800,review,this is good for my apple watch love how it is around my wrist.,4,"""this is good for my apple watch love', 'how it is around my wrist .""","`` this is good for my apple watch love ' , 'how it is around my wrist . ''",0,0,0,0,0,0,0,0,0
59,9541,9542,review,purchased this after my fitbit charge 2 quit on me. i love it!,5,"""purchased this after my fitbit charge 2 quit on me .', 'i love it !""","`` purchased this after my fitbit charge 2 quit on me . ' , ' i love it ! ''",0,0,0,0,0,0,0,0,0
60,9554,9555,review,i had a fitbit versa and upgraded for mothers day. just love it,5,"""i had a fitbit versa and upgraded for mothers day .', 'just love it""","`` i had a fitbit versa and upgraded for mother day . ' , 'just love it ''",0,0,0,0,0,0,0,0,0
61,9641,9642,review,exactly what i was looking for without having a stupid apple watch.,5,"""exactly what i wa looking for without having a stupid apple watch .""",`` exactly what i wa looking for without having a stupid apple watch . '',0,0,0,0,0,0,0,0,0
63,9995,9996,review,it is good as the 6. i love it for it being my first apple watch,5,"""it is good a the 6 .', 'i love it for it being my first apple watch""","`` it is good a the 6 . ' , ' i love it for it being my first apple watch ''",0,0,0,0,0,0,0,0,0
64,9996,9997,review,i love my apple watch. easy to connect to my phone n works great,5,"""i love my apple watch .', 'easy to connect to my phone n work great""","`` i love my apple watch . ' , 'easy to connect to my phone n work great ''",0,1,0,1,0,0,0,0,0
65,10022,10023,review,makes working out fun. can challenge other apple watch friends.,5,"""makes working out fun .', 'can challenge other apple watch friend .""","`` make working out fun . ' , 'can challenge other apple watch friend . ''",1,0,0,0,0,0,0,0,0
66,10046,10047,review,love my apple watch! fast and easy online pickup and works great,5,"""love my apple watch !', 'fast and easy online pickup and work great""","`` love my apple watch ! ' , 'fast and easy online pickup and work great ''",0,0,0,1,0,0,0,0,0
67,10549,10550,review,my cousin loved his food apple watch. it worked really nicely.,5,"""my cousin loved his food apple watch .', 'it worked really nicely .""","`` my cousin loved his food apple watch . ' , 'it worked really nicely . ''",0,0,0,0,0,0,0,0,0
70,10699,10700,review,i love my new apple watch. user friendly well worth the money.,5,"""i love my new apple watch .', 'user friendly well worth the money .""","`` i love my new apple watch . ' , 'user friendly well worth the money . ''",0,0,0,1,0,1,0,0,0
72,11459,11460,review,very handy and does a good job. a must have for your apple watch,5,"""very handy and doe a good job .', 'a must have for your apple watch""","`` very handy and doe a good job . ' , ' a must have for your apple watch ''",0,0,0,0,0,0,0,0,0
73,11556,11557,review,love my new apple watch and all of the different applications as well,5,"""love my new apple watch and all of the different application a well""",`` love my new apple watch and all of the different application a well '',0,0,0,0,0,0,0,0,0
74,11700,11701,review,i love my apple watch .. easy to connect .. only work foe 2 weeks,5,"""i love my apple watch .. easy to connect ..', 'only work foe 2 week""","`` i love my apple watch .. easy to connect .. ' , 'only work foe 2 week ''",0,1,0,1,0,0,0,0,0
75,11732,11733,review,best apple watch so far it has been my favorite apple watch so far!,5,"""best apple watch so far it ha been my favorite apple watch so far !""",`` best apple watch so far it ha been my favorite apple watch so far ! '',0,0,0,0,0,0,0,0,0
76,11751,11752,review,love my apple watch especially when it it gets mynoxygen levełsanbe,5,"""love my apple watch especially when it it get mynoxygen levełsanbe""",`` love my apple watch especially when it it get mynoxygen levełsanbe '',0,0,0,0,0,0,0,0,0
77,11795,11796,review,beat apple watch & has apple care! i'm so happy with my purchase,5,"""beat apple watch & ha apple care !', 'i'm so happy with my purchase""","`` beat apple watch & ha apple care ! ' , ' i 'm so happy with my purchase ''",1,0,0,0,0,0,0,0,0
80,12358,12359,review,love the apple watch! especially the apple 6! good choice!,5,"""love the apple watch !', 'especially the apple 6 !', 'good choice !""","`` love the apple watch ! ' , 'especially the apple 6 ! ' , 'good choice ! ''",0,0,0,0,0,0,0,0,0
81,12897,12898,review,nice upgrade for a men's apple watch! casual but classy look,5,"""nice upgrade for a men's apple watch !', 'casual', 'but classy look""","`` nice upgrade for a men 's apple watch ! ' , 'casual ' , 'but classy look ''",0,0,0,0,1,0,0,0,0
82,12927,12928,review,nice upgrade for a men\u2019s apple watch! casual but classy look,5,"""nice upgrade for a men's apple watch !', 'casual', 'but classy look""","`` nice upgrade for a men 's apple watch ! ' , 'casual ' , 'but classy look ''",0,0,0,0,1,0,0,0,0
83,13085,13086,review,it's an apple watch. it's the best wearable. it's good.,5,"""it 's an apple watch ."", ""it 's the best wearable ."", ""it 's good .""","`` it 's an apple watch . `` , `` it 's the best wearable . `` , `` it 's good . ''",0,0,0,0,0,0,0,0,0
84,14047,14048,review,apple watch you should get one period this is must have so happy,5,"""apple watch you should get one period this', 'is must have so happy""","`` apple watch you should get one period this ' , 'is must have so happy ''",1,0,0,0,0,0,0,0,0
85,14065,14066,review,this beautiful smart apple watch has many options and easy to install,5,"""this beautiful smart apple watch ha many option and easy to install""",`` this beautiful smart apple watch ha many option and easy to install '',0,0,0,1,0,0,0,0,0
86,14559,14560,review,"comfortable to wear, matches well with my blue apple watch 44mm.",5,"""comfortable to wear ,', 'match well with my blue apple watch 44mm .""","`` comfortable to wear , ' , 'match well with my blue apple watch 44mm . ''",0,0,0,0,0,0,0,0,0
87,14660,14661,review,i love it more than apple watch i had. love everything about it,5,"""i love it more than apple watch i had .', 'love everything about it""","`` i love it more than apple watch i had . ' , 'love everything about it ''",0,0,0,0,0,0,0,0,0
88,14797,14798,review,keeps my apple watch safe . i love this item. great purchase,5,"""keeps my apple watch safe .', 'i love this item .', 'great purchase""","`` keep my apple watch safe . ' , ' i love this item . ' , 'great purchase ''",0,0,0,0,0,0,0,0,0
89,14857,14858,review,quality leather strap with silicone lining... perfect fit with apple watch,5,"""leather strap with silicone lining ... perfect fit with apple watch""",`` leather strap with silicone lining ... perfect fit with apple watch '',0,0,0,0,0,0,0,0,0
90,14889,14890,review,i love this watch! a lot better than the aluminum apple watch.,5,"""i love this watch !', 'a lot better than the aluminum apple watch .""","`` i love this watch ! ' , ' a lot better than the aluminum apple watch . ''",0,0,0,0,0,0,0,0,0
91,14915,14916,review,"this was a birthday gift for my sister, she loves her apple watch",5,"""this wa a birthday gift for my sister ,', 'she love her apple watch""","`` this wa a birthday gift for my sister , ' , 'she love her apple watch ''",0,0,0,0,0,0,0,0,0
92,15042,15043,review,"durable, easy to attach to fitbit charge 2. very fast shipping",5,"""durable , easy to attach to fitbit charge 2 .', 'very fast shipping""","`` durable , easy to attach to fitbit charge 2 . ' , 'very fast shipping ''",0,0,0,0,0,0,0,0,0
94,15483,15484,review,looking for a apple watch? this is a great place to start,5,"""looking for a apple watch ?', 'this is a great place', 'to', 'start""","`` looking for a apple watch ? ' , 'this is a great place ' , 'to ' , 'start ''",0,0,0,0,0,0,0,0,0
96,15636,15637,review,the red color makes my silver apple watch look so good on my wrist.,5,"""the red color make my silver apple watch look so good on my wrist .""",`` the red color make my silver apple watch look so good on my wrist . '',0,0,0,0,1,0,0,0,0
98,15903,15904,review,"what can we say, it's apple watch for daughter. she loves it",5,"""what can we say ,', 'it's apple watch for daughter .', 'she love it""","`` what can we say , ' , 'it 's apple watch for daughter . ' , 'she love it ''",0,0,0,0,0,0,0,0,0
99,15966,15967,review,i brought an apple watch for my wife and i had to one for myself,5,"""i brought an apple watch for my wife', 'and i had to one for myself""","`` i brought an apple watch for my wife ' , 'and i had to one for myself ''",0,0,0,0,0,0,0,0,0
100,15973,15974,review,"what can we say, it\u2019s apple watch for daughter. she loves it",5,"""what can we say ,', 'it's apple watch for daughter .', 'she love it""","`` what can we say , ' , 'it 's apple watch for daughter . ' , 'she love it ''",0,0,0,0,0,0,0,0,0
101,16760,16761,review,i love my apple watch! it\u2019s great and has all the right features for me.,5,"""i love my apple watch !', 'it's great and ha all the right for me .""","`` i love my apple watch ! ' , 'it 's great and ha all the right for me . ''",0,0,0,0,0,0,0,0,0
102,16766,16767,review,i love my apple watch! it's great and has all the right features for me.,5,"""i love my apple watch !', 'it's great and ha all the right for me .""","`` i love my apple watch ! ' , 'it 's great and ha all the right for me . ''",0,0,0,0,0,0,0,0,0
103,17541,17542,review,these are very comfortable for everyday wear with my fitbit versa.,5,"""these are very comfortable for everyday wear with my fitbit versa .""",`` these are very comfortable for everyday wear with my fitbit versa . '',0,0,0,0,0,0,0,0,0
104,17564,17565,review,greatest apple watch ever. best watch ever i would buy it again,5,"""greatest apple watch ever .', 'best watch ever i would buy it again""","`` greatest apple watch ever . ' , 'best watch ever i would buy it again ''",0,0,0,0,0,0,0,0,0
105,18129,18130,review,just as advertised! is awesome and protects apple my apple watch,5,"""just a advertised !', 'is awesome and protects apple my apple watch""","`` just a advertised ! ' , 'is awesome and protects apple my apple watch ''",0,0,0,0,0,0,0,0,0
106,18226,18227,review,had samsung gear 2 this is much better more apps would recommend,5,"""had samsung gear 2 this is much better', 'more apps would recommend""","`` had samsung gear 2 this is much better ' , 'more apps would recommend ''",0,0,0,0,0,0,0,0,0
107,18296,18297,review,daughter loves the bumper as it greatly protects her apple watch.,5,"""daughter love', 'the bumper a it greatly protects her apple watch .""","`` daughter love ' , 'the bumper a it greatly protects her apple watch . ''",0,0,0,0,0,0,0,0,0
108,18344,18345,review,i love my fitbit. it keeps being mistaken for an apple watch lol,5,"""i love my fitbit .', 'it keep being mistaken for an apple watch lol""","`` i love my fitbit . ' , 'it keep being mistaken for an apple watch lol ''",0,0,0,0,0,0,0,0,0
109,18809,18810,review,more than what i had expected my first apple watch and i love it,5,"""more than what i had expected my first apple watch', 'and i love it""","`` more than what i had expected my first apple watch ' , 'and i love it ''",0,0,0,0,0,0,0,0,0
110,18894,18895,review,my wife enjoys her apple watch. she is not big on the big watches,5,"""my wife enjoys her apple watch .', 'she is not big on the big watch""","`` my wife enjoys her apple watch . ' , 'she is not big on the big watch ''",0,0,0,0,0,0,0,0,0
111,18911,18912,review,i bought this apple watch series 5 for my wife and she loves it.,5,"""i bought this apple watch series 5 for my wife', 'and she love it .""","`` i bought this apple watch series 5 for my wife ' , 'and she love it . ''",0,0,0,0,0,0,0,0,0
112,18992,18993,review,"this apple watch is best one yet, i would recommend to anyone.",5,"""this apple watch is best one yet ,', 'i would recommend to anyone .""","`` this apple watch is best one yet , ' , ' i would recommend to anyone . ''",0,0,0,0,0,0,0,0,0
113,19027,19028,review,i love i it's my first apple watch i love it so easy to use.,5,"""i love i it's my first apple watch', 'i love', 'it so easy to use .""","`` i love i it 's my first apple watch ' , ' i love ' , 'it so easy to use . ''",0,0,0,1,0,0,0,0,0
114,19034,19035,review,i love i it\u2019s my first apple watch i love it so easy to use.,5,"""i love i it's my first apple watch', 'i love', 'it so easy to use .""","`` i love i it 's my first apple watch ' , ' i love ' , 'it so easy to use . ''",0,0,0,1,0,0,0,0,0
115,19106,19107,review,makes my fitbit charge 3 look so elegant. super-strong magnet!,5,"""makes my fitbit charge 3 look so elegant .', 'super-strong magnet !""","`` make my fitbit charge 3 look so elegant . ' , 'super-strong magnet ! ''",0,0,0,0,1,0,0,1,0
116,19131,19132,review,apple watch i is just one of the smartest watch ever easy to use,5,"""apple watch i is just one of the smartest watch ever easy', 'to use""","`` apple watch i is just one of the smartest watch ever easy ' , 'to use ''",0,0,0,1,0,0,0,0,0
117,19170,19171,review,this is a must have for your new apple watch and at a great price!,5,"""this is a must have for your new apple watch and at a great price !""",`` this is a must have for your new apple watch and at a great price ! '',0,0,0,0,0,1,0,0,0
118,19421,19422,review,i love the fact that i can answer and talk from my apple watch.,5,"""i love the fact', 'that i can answer and talk from my apple watch .""","`` i love the fact ' , 'that i can answer and talk from my apple watch . ''",0,0,0,0,0,0,0,0,0
119,19542,19543,review,great watch best alternative if you can't afford the apple watch,5,"""great watch best alternative', 'if you can't afford the apple watch""","`` great watch best alternative ' , 'if you ca n't afford the apple watch ''",0,0,0,0,0,0,0,0,0
120,19552,19553,review,great watch best alternative if you can\u2019t afford the apple watch,5,"""great watch best alternative', 'if you can't afford the apple watch""","`` great watch best alternative ' , 'if you ca n't afford the apple watch ''",0,0,0,0,0,0,0,0,0
121,19648,19649,review,great watch! i love the new series 5 apple watch. amazing features.,5,"""great watch !', 'i love the new series 5 apple watch .', 'amazing .""","`` great watch ! ' , ' i love the new series 5 apple watch . ' , 'amazing . ''",0,0,0,0,0,0,0,0,0
122,19844,19845,review,the best apple watch yet! a lot better than the other versions.,5,"""the best apple watch yet !', 'a lot better than the other version .""","`` the best apple watch yet ! ' , ' a lot better than the other version . ''",0,0,0,0,0,0,0,0,0
123,19879,19880,review,got rid of my apple watch and got the fitbit.....great move.,5,"""got rid of my apple watch', 'and got the fitbit ... .. great move .""","`` got rid of my apple watch ' , 'and got the fitbit ... .. great move . ''",0,0,0,0,0,0,0,0,0
125,20637,20638,review,i loved my apple watch. great service by the way. awesome.,5,"""i loved my apple watch .', 'great service by the way .', 'awesome .""","`` i loved my apple watch . ' , 'great service by the way . ' , 'awesome . ''",0,0,0,0,0,0,0,0,0
126,20908,20909,review,looks nice and works well with the apple watch as far as compatibility,5,"""looks nice and work well with the apple watch a far a compatibility""",`` look nice and work well with the apple watch a far a compatibility '',0,0,0,0,1,0,0,0,0
127,21020,21021,review,awesome apple watch. sleek design and works awesome. love it,5,"""awesome apple watch .', 'sleek design and work awesome .', 'love it""","`` awesome apple watch . ' , 'sleek design and work awesome . ' , 'love it ''",0,0,0,0,1,0,0,0,0
128,21117,21118,review,my wife loves her apple watch. great fitness tracking and look!,5,"""my wife love her apple watch .', 'great fitness tracking and look !""","`` my wife love her apple watch . ' , 'great fitness tracking and look ! ''",0,0,0,0,1,0,1,0,0
129,21252,21253,review,"first apple watch, my wife loves it.. easy to pair and looks nice.",5,"""first apple watch , my wife love it .. easy to pair and look nice .""","`` first apple watch , my wife love it .. easy to pair and look nice . ''",0,1,0,1,1,0,0,0,0
130,21384,21385,review,love my fitbit charge 5. sales person knowledge about product.,5,"""love my fitbit charge 5 .', 'sales person knowledge about product .""","`` love my fitbit charge 5 . ' , 'sales person knowledge about product . ''",0,0,0,0,0,0,0,1,0
131,21397,21398,review,"this is my first apple watch and i love the size, color, and quality.",5,"""this is my first apple watch', 'and i love the size , color , and .""","`` this is my first apple watch ' , 'and i love the size , color , and . ''",0,0,0,0,1,0,0,0,0
132,21465,21466,review,this apple watch made the perfect holiday gift and it was on sale,5,"""this apple watch made the perfect holiday gift', 'and it wa on sale""","`` this apple watch made the perfect holiday gift ' , 'and it wa on sale ''",0,0,0,0,0,0,0,0,0
133,21556,21557,review,love my apple watch. it looks nice and it feels nice on my arm,5,"""love my apple watch .', 'it look nice', 'and it feel nice on my arm""","`` love my apple watch . ' , 'it look nice ' , 'and it feel nice on my arm ''",0,0,0,0,1,0,0,0,0
134,21573,21574,review,love the new watch. great improvement over my old apple watch!,5,"""love the new watch .', 'great improvement over my old apple watch !""","`` love the new watch . ' , 'great improvement over my old apple watch ! ''",0,0,0,0,0,0,0,0,0
135,21709,21710,review,i buy an apple watch for my wife months ago and she is happy with,5,"""i buy an apple watch for my wife month ago', 'and she is happy with""","`` i buy an apple watch for my wife month ago ' , 'and she is happy with ''",1,0,0,0,0,0,0,0,0
137,21981,21982,review,first apple watch for a non tech person and it's working great.,5,"""first apple watch for a non tech person', 'and it's working great .""","`` first apple watch for a non tech person ' , 'and it 's working great . ''",0,0,0,0,0,0,0,0,0
138,22151,22152,review,"i needed a bumper guard for my apple watch, it works really good",5,"""i needed a bumper guard for my apple watch ,', 'it work really good""","`` i needed a bumper guard for my apple watch , ' , 'it work really good ''",0,0,0,0,0,0,0,0,0
139,22402,22403,review,i absolutely love the apple watch. this was gift die my father.,5,"""i absolutely love the apple watch .', 'this wa gift die my father .""","`` i absolutely love the apple watch . ' , 'this wa gift die my father . ''",0,0,0,0,0,0,0,0,0
140,22465,22466,review,big upgrade from my apple watch 4 and blue color is a nice option.,5,"""big upgrade from my apple watch 4 and blue color is a nice option .""",`` big upgrade from my apple watch 4 and blue color is a nice option . '',0,0,0,0,1,0,0,0,0
141,22732,22733,review,the apple watch series 3 is a very good watch. clean and nice.,5,"""the apple watch series 3 is a very good watch .', 'clean and nice .""","`` the apple watch series 3 is a very good watch . ' , 'clean and nice . ''",0,0,0,0,0,0,0,0,0
142,22989,22990,review,i love it a upgrade from the series 1 apple watch i had for a while,5,"""i love it a upgrade from the series 1 apple watch i had for a while""",`` i love it a upgrade from the series 1 apple watch i had for a while '',0,0,0,0,0,0,0,0,0
143,23030,23031,review,apple watch featuring apps from nike to track aerobic activity.,5,"""apple watch featuring apps from nike', 'to track aerobic activity .""","`` apple watch featuring apps from nike ' , 'to track aerobic activity . ''",0,0,0,0,0,0,1,0,0
