,ReviewID,Page Type,Full Text,Rating,SegmentedReview
21117,21118,review,My wife loves her Apple Watch. Great fitness tracking and look!,5,"""My wife love her Apple Watch .', 'Great fitness tracking and look !"""
21252,21253,review,"First Apple watch, my wife loves it.. easy to pair and looks nice.",5,"""First Apple watch , my wife love it .. easy to pair and look nice ."""
21384,21385,review,Love my fitbit charge 5. Sales person knowledge about product.,5,"""Love my fitbit charge 5 .', 'Sales person knowledge about product ."""
21397,21398,review,"This is my first Apple Watch and I love the size, color, and quality.",5,"""This is my first Apple Watch', 'and I love the size , color , and ."""
21465,21466,review,This Apple Watch made the perfect holiday gift and it was on sale,5,"""This Apple Watch made the perfect holiday gift', 'and it wa on sale"""
21556,21557,review,Love my Apple watch. It looks nice and it feels nice on my arm,5,"""Love my Apple watch .', 'It look nice', 'and it feel nice on my arm"""
21573,21574,review,Love the new watch. Great improvement over my old Apple Watch!,5,"""Love the new watch .', 'Great improvement over my old Apple Watch !"""
21709,21710,review,I buy an Apple Watch for my wife months ago and she is happy with,5,"""I buy an Apple Watch for my wife month ago', 'and she is happy with"""
21910,21911,review,I loved this Apple Watch band and the color was simply gorgeous!,5,"""I loved this Apple Watch band', 'and the color wa simply gorgeous !"""
21981,21982,review,First Apple Watch for a non tech person and it's working great.,5,"""First Apple Watch for a non tech person', 'and it's working great ."""
22151,22152,review,"I needed a bumper guard for my Apple Watch, it works really good",5,"""I needed a bumper guard for my Apple Watch ,', 'it work really good"""
22402,22403,review,I absolutely love the Apple Watch. This was gift die my father.,5,"""I absolutely love the Apple Watch .', 'This wa gift die my father ."""
22465,22466,review,Big upgrade from my Apple Watch 4 and blue color is a nice option.,5,"""Big upgrade from my Apple Watch 4 and blue color is a nice option ."""
22732,22733,review,The Apple Watch series 3 is a very good watch. Clean and nice.,5,"""The Apple Watch series 3 is a very good watch .', 'Clean and nice ."""
22989,22990,review,I love it a upgrade from the series 1 Apple Watch I had for a while,5,"""I love it a upgrade from the series 1 Apple Watch I had for a while"""
23030,23031,review,Apple watch featuring apps from Nike to track aerobic activity.,5,"""Apple watch featuring apps from Nike', 'to track aerobic activity ."""
23075,23076,review,Love my Apple Watch! Best purchase I\u2019ve made this year by far.,5,"""Love my Apple Watch !', 'Best purchase I've made this year by far ."""
23151,23152,review,This Series 5 is my first Apple Watch. So glad I purchased it.,5,"""This Series 5 is my first Apple Watch .', 'So glad I purchased it ."""
23527,23528,review,Product does as expected. Apple Watch charger. No complaints.,5,"""Product doe a expected .', 'Apple Watch charger .', 'No complaint ."""
23663,23664,review,Stylish watch band for my Apple Watch. Looks sharp with watch.,5,"""Stylish watch band for my Apple Watch .', 'Looks sharp with watch ."""
23722,23723,review,One of the better colorways that Nike makes for the Apple Watch.,5,"""One of the better colorways', 'that Nike make for the Apple Watch ."""
23810,23811,review,"Great replacement band for my Fitbit Ionic , no complaints at all",5,"""Great replacement band for my Fitbit Ionic ,', 'no complaint at all"""
23877,23878,review,"My favorite Apple Watch band so far, comfortable, nice gray color",5,"""My favorite Apple Watch band so far , comfortable , nice gray color"""
24255,24256,review,The apple watch is a great item that has a tremendous amount of features.,5,"""The apple watch is a great item', 'that ha a tremendous amount of ."""
24269,24270,review,New and shiny! Works like a charm to charge my Apple Watch.,5,"""New and shiny !', 'Works like a charm', 'to charge my Apple Watch ."""
24492,24493,review,Live the new phone and Apple Watch. Really enjoy the technology,5,"""Live the new phone and Apple Watch .', 'Really enjoy the technology"""
24587,24588,review,Apple Watch was a gift and she loved it l. It was a replacement,5,"""Apple Watch wa a gift', 'and she loved', 'it l. It wa a replacement"""
24761,24762,review,Looks great and fantastic... very good option for your Apple Watch,5,"""Looks great and fantastic ... very good option for your Apple Watch"""
24892,24893,review,A great way to protect your valuable Apple Watch at a great price!,5,"""A great way to protect your valuable Apple Watch at a great price !"""
24898,24899,review,My wife loves her Apple Watch. It definitely makes a great gift.,5,"""My wife love her Apple Watch .', 'It definitely make a great gift ."""
24995,24996,review,Pretty good band for Apple Watch very durable but fades after a year,5,"""Pretty good band for Apple Watch very durable but fade after a year"""
25034,25035,review,Perfect fit for my Apple Watch. Nice color and easy to attach.,5,"""Perfect fit for my Apple Watch .', 'Nice color and easy to attach ."""
25098,25099,review,My second Apple Watch love it! It\u2019s the perfect workout buddy!,5,"""My second Apple Watch love it !', 'It's the perfect workout buddy !"""
25100,25101,review,This is my 2nd Apple Watch. Wear it everyday. Great product,5,"""This is my 2nd Apple Watch .', 'Wear it everyday .', 'Great product"""
25362,25363,review,This Apple Watch is amazing and worth the price! I love it!,5,"""This Apple Watch is amazing', 'and worth the price !', 'I love it !"""
25692,25693,review,I updated an older version of the Apple Watch. I like the new features.,5,"""I updated an older version of the Apple Watch .', 'I like the new ."""
25994,25995,review,Absolutely love it and it's a quarter of what a Apple Watch costs,5,"""Absolutely love it', 'and it's a quarter of what a Apple Watch cost"""
26028,26029,review,I like it. It's a good alternative to a Fitbit or a Apple Watch,5,"""I like it .', 'It's a good alternative to a Fitbit or a Apple Watch"""
26109,26110,review,I love my apple watch. It's very easy to operate with the app.,5,"""I love my apple watch .', 'It's very easy to operate with the app ."""
26121,26122,review,The strap fits perfectly on the Apple Watch and feels nice to wear,5,"""The strap fit perfectly on the Apple Watch', 'and feel nice to wear"""
26196,26197,review,I love my apple watch. It\u2019s very easy to operate with the app.,5,"""I love my apple watch .', 'It's very easy to operate with the app ."""
26412,26413,review,Very pleased with the Apple watch purchase. I would recommend.,5,"""Very pleased with the Apple watch purchase .', 'I would recommend ."""
26479,26480,review,"Love my Apple Watch, it's very easy to use and it comes in handy",5,"""Love my Apple Watch , it's very easy to use', 'and it come in handy"""
26568,26569,review,"Love my Apple Watch, it\u2019s very easy to use and it comes in handy",5,"""Love my Apple Watch , it's very easy to use', 'and it come in handy"""
26764,26765,review,Great quality and love the look. I can easily dress up my Apple Watch.,5,"""Great and love the look .', 'I can easily dress up my Apple Watch ."""
27189,27190,review,It will make your Apple Watch stand out . Comfortable and classy,5,"""It will make your Apple Watch stand out .', 'Comfortable and classy"""
27323,27324,review,"I love it , it really protects my Apple Watch it keep it safe",5,"""I love it ,', 'it really protects my Apple Watch', 'it keep it safe"""
27430,27431,review,This is a great sports band for the Apple Watch Got it on sale,5,"""This is a great sport', 'band for the Apple Watch Got', 'it on sale"""
27548,27549,review,This amazing product works quite well to protect my Apple Watch.,5,"""This amazing product work quite well', 'to protect my Apple Watch ."""
27678,27679,review,This Apple Watch is of excellent quality! Very happy with my purchase!,5,"""This Apple Watch is of excellent !', 'Very happy with my purchase !"""
27764,27765,review,This is a great charger for your Apple Watch. Charges fast!,5,"""This is a great charger', 'for your Apple Watch .', 'Charges fast !"""
28062,28063,review,nice black apple watch band. easy wear and wash. fit for people,5,"""nice black apple watch band .', 'easy wear and wash. fit for people"""
28085,28086,review,Fitbit charge 4 actually makes it easier to get to your daily goals.,5,"""Fitbit charge 4 actually make it easier to get to your daily goal ."""
28134,28135,review,I love this new series 5 Apple Watch. I made a great purchase.,5,"""I love this new series 5 Apple Watch .', 'I made a great purchase ."""
28155,28156,review,Love all the features that I didn\u2019t have on my version 2 Apple Watch.,5,"""Love all the that', 'I didn't', 'have on my version 2 Apple Watch ."""
28189,28190,review,Really good watch band for the Apple Watch. Series 3 in my case,5,"""Really good watch band for the Apple Watch .', 'Series 3 in my case"""
28315,28316,review,My son loves his Apple Watch. Easy to use and great battery life,5,"""My son love his Apple Watch .', 'Easy to use and great battery life"""
28330,28331,review,"The perfect band for your Apple Watch, nice and sturdy material",5,"""The perfect band', 'for your Apple Watch , nice and sturdy material"""
28414,28415,review,I liked this apple watch because it has a nice size and has many features.,5,"""I liked this apple watch', 'because it ha a nice size and ha many ."""
28443,28444,review,I Love my SE Apple Watch its has to band. I highly recommend it.,5,"""I Love my SE Apple Watch it ha to band .', 'I highly recommend it ."""
28615,28616,review,Is the first time using an Apple Watch and I like the product,5,"""Is the first time', 'using an Apple Watch', 'and I like the product"""
28648,28649,review,This glass protector cover my apple watch and protected really well,5,"""This glass protector cover my apple watch and protected really well"""
28689,28690,review,I LOVE IT. \nIT MATCH MY SILVER APPLE WATCH.\nAND VERY SECURE,5,"""I LOVE IT .', '\\nIT MATCH MY SILVER APPLE WATCH.\\nAND VERY SECURE"""
28779,28780,review,This charger is the perfect length for charging my Apple Watch.,5,"""This charger is the perfect length', 'for charging my Apple Watch ."""
28856,28857,review,Great Apple Watch for a good price. Very happy with the watch.,5,"""Great Apple Watch for a good price .', 'Very happy with the watch ."""
28987,28988,review,What can you saw? It is an Apple Watch. great quality with a lot of features,5,"""What can you saw ?', 'It is an Apple Watch .', 'great with a lot of"""
29119,29120,review,This was an upgrade for us from the Fitbit Charge and is awesome!,5,"""This wa an upgrade for u from the Fitbit Charge', 'and is awesome !"""
29138,29139,review,Perfect for the apple watch owner. Color is bright and pretty.,5,"""Perfect for the apple watch owner .', 'Color is bright and pretty ."""
29221,29222,review,"This is was a nice gift for my cousin, she loves this apple watch",5,"""This is wa a nice gift for my cousin ,', 'she love this apple watch"""
29260,29261,review,I love my Fitbit Inspire. The battery last a really long time.,5,"""I love my Fitbit Inspire .', 'The battery last a really long time ."""
29718,29719,review,Love the Apple Watch. It's a great looking functional accessory,5,"""Love the Apple Watch .', 'It's a great looking functional accessory"""
29812,29813,review,The apple watch looks amazing and the case it's perfect and safe,5,"""The apple watch look amazing', ""and the case it 's perfect and safe"""
29936,29937,review,excellent mesh watch band for the Apple watch - fits very well,5,"""excellent mesh watch', 'band for the Apple watch -', 'fit very well"""
30024,30025,review,This is my first apple watch and i like it so far so easy to use,5,"""This is my first apple watch', 'and i like it so far so easy to use"""
30853,30854,review,Bought this for my wife's Apple Watch Seties 6! Great product!,5,"""Bought this for my wife's Apple Watch Seties 6 !', 'Great product !"""
30901,30902,review,"This Apple Watch series 3 is amazing, I\u2019m currently using now .",5,"""This Apple Watch series 3 is amazing ,', 'I'm currently using now ."""
31028,31029,review,Great! Works as you'd expect! (It's just an Apple Watch),5,"""Great !', ""Works a you 'd expect !"", ""( It 's just an Apple Watch )"""
31135,31136,review,Apple Watch became my health and fitness tracker. Is the best.,5,"""Apple Watch became my health and fitness tracker .', 'Is the best ."""
31375,31376,review,Everyone should have an Apple Watch! It makes life much easier.,5,"""Everyone should have an Apple Watch !', 'It make life much easier ."""
31439,31440,review,I really like this apple watch cus has features that the gen 3 doesn't have,5,"""I really like this apple watch cu ha', ""that the gen 3 doe n't have"""
31595,31596,review,Beautiful on my wrist and cost less than apple watch. Good choice,5,"""Beautiful on my wrist and cost le than apple watch .', 'Good choice"""
31657,31658,review,Awesome Apple Watch series 6. My husband love the overall quality and features.,5,"""Awesome Apple Watch series 6 .', 'My husband love the overall and ."""
31684,31685,review,Upgraded from an Apple Watch Series 3 and its a huge difference.,5,"""Upgraded from an Apple Watch Series 3', 'and it a huge difference ."""
31727,31728,review,I love my Apple Watch. Most practical watch I have ever owned.,5,"""I love my Apple Watch .', 'Most practical watch I have ever owned ."""
31753,31754,review,Use it everyday\nPerfect size\nCan't go without my apple watch,5,"""Use it everyday\\nPerfect size\\nCan't go', 'without my apple watch"""
